Batch,Community,Isolate1,Isolate2,Freq1,Freq2,image_name_pair,image_name_isolate1,image_name_isolate2
C,C11R1,1,2,95,5,C_T8_C11R1_5-95_1_2,C_T0_C11R1_1,C_T0_C11R1_2
C,C11R1,1,3,95,5,C_T8_C11R1_5-95_1_3,C_T0_C11R1_1,C_T8_C11R1_3
C,C11R1,1,4,95,5,C_T8_C11R1_5-95_1_4,C_T0_C11R1_1,C_T8_C11R1_4
C,C11R1,1,5,95,5,C_T8_C11R1_5-95_1_5,C_T0_C11R1_1,C_T8_C11R1_5
C,C11R1,1,6,95,5,C_T8_C11R1_5-95_1_6,C_T0_C11R1_1,C_T8_C11R1_6
C,C11R1,1,7,95,5,C_T8_C11R1_5-95_1_7,C_T0_C11R1_1,C_T8_C11R1_7
C,C11R1,1,8,95,5,C_T8_C11R1_5-95_1_8,C_T0_C11R1_1,C_T0_C11R1_8
C,C11R1,1,9,95,5,C_T8_C11R1_5-95_1_9,C_T0_C11R1_1,C_T0_C11R1_9
C,C11R1,2,1,95,5,C_T8_C11R1_5-95_2_1,C_T0_C11R1_2,C_T0_C11R1_1
C,C11R1,3,1,95,5,C_T8_C11R1_5-95_3_1,C_T8_C11R1_3,C_T0_C11R1_1
C,C11R1,4,1,95,5,C_T8_C11R1_5-95_4_1,C_T8_C11R1_4,C_T0_C11R1_1
C,C11R1,5,1,95,5,C_T8_C11R1_5-95_5_1,C_T8_C11R1_5,C_T0_C11R1_1
C,C11R1,5,6,95,5,C_T8_C11R1_5-95_5_6,C_T8_C11R1_5,C_T8_C11R1_6
C,C11R1,5,7,95,5,C_T8_C11R1_5-95_5_7,C_T8_C11R1_5,C_T8_C11R1_7
C,C11R1,6,1,95,5,C_T8_C11R1_5-95_6_1,C_T8_C11R1_6,C_T0_C11R1_1
C,C11R1,6,5,95,5,C_T8_C11R1_5-95_6_5,C_T8_C11R1_6,C_T8_C11R1_5
C,C11R1,7,1,95,5,C_T8_C11R1_5-95_7_1,C_T8_C11R1_7,C_T0_C11R1_1
C,C11R1,7,5,95,5,C_T8_C11R1_5-95_7_5,C_T8_C11R1_7,C_T8_C11R1_5
C,C11R1,8,1,95,5,C_T8_C11R1_5-95_8_1,C_T0_C11R1_8,C_T0_C11R1_1
C,C11R1,9,1,95,5,C_T8_C11R1_5-95_9_1,C_T0_C11R1_9,C_T0_C11R1_1
C,C11R1,1,4,50,50,C_T8_C11R1_50-50_1_4,C_T0_C11R1_1,C_T8_C11R1_4
C,C11R1,1,5,50,50,C_T8_C11R1_50-50_1_5,C_T0_C11R1_1,C_T8_C11R1_5
C,C11R1,1,6,50,50,C_T8_C11R1_50-50_1_6,C_T0_C11R1_1,C_T8_C11R1_6
C,C11R1,1,7,50,50,C_T8_C11R1_50-50_1_7,C_T0_C11R1_1,C_T8_C11R1_7
C,C11R1,1,8,50,50,C_T8_C11R1_50-50_1_8,C_T0_C11R1_1,C_T0_C11R1_8
C,C11R1,1,9,50,50,C_T8_C11R1_50-50_1_9,C_T0_C11R1_1,C_T0_C11R1_9
C,C11R1,5,6,50,50,C_T8_C11R1_50-50_5_6,C_T8_C11R1_5,C_T8_C11R1_6
C,C11R1,5,7,50,50,C_T8_C11R1_50-50_5_7,C_T8_C11R1_5,C_T8_C11R1_7
