Batch,Community,Isolate1,Isolate2,Freq1,Freq2,image_name_pair,image_name_isolate1,image_name_isolate2
C2,C11R2,1,10,95,5,C2_T8_C11R2_5-95_1_10,C2_T8_C11R2_1,C2_T0_C11R2_10
C2,C11R2,1,12,95,5,C2_T8_C11R2_5-95_1_12,C2_T8_C11R2_1,C2_T8_C11R2_12
C2,C11R2,1,2,95,5,C2_T8_C11R2_5-95_1_2,C2_T8_C11R2_1,C2_T0_C11R2_2
C2,C11R2,1,3,95,5,C2_T8_C11R2_5-95_1_3,C2_T8_C11R2_1,C2_T8_C11R2_3
C2,C11R2,1,4,95,5,C2_T8_C11R2_5-95_1_4,C2_T8_C11R2_1,C2_T8_C11R2_4
C2,C11R2,1,5,95,5,C2_T8_C11R2_5-95_1_5,C2_T8_C11R2_1,C2_T8_C11R2_5
C2,C11R2,1,6,95,5,C2_T8_C11R2_5-95_1_6,C2_T8_C11R2_1,C2_T8_C11R2_6
C2,C11R2,1,7,95,5,C2_T8_C11R2_5-95_1_7,C2_T8_C11R2_1,C2_T8_C11R2_7
C2,C11R2,1,8,95,5,C2_T8_C11R2_5-95_1_8,C2_T8_C11R2_1,C2_T0_C11R2_8
C2,C11R2,10,1,95,5,C2_T8_C11R2_5-95_10_1,C2_T0_C11R2_10,C2_T8_C11R2_1
C2,C11R2,10,12,95,5,C2_T8_C11R2_5-95_10_12,C2_T0_C11R2_10,C2_T8_C11R2_12
C2,C11R2,10,2,95,5,C2_T8_C11R2_5-95_10_2,C2_T0_C11R2_10,C2_T0_C11R2_2
C2,C11R2,10,3,95,5,C2_T8_C11R2_5-95_10_3,C2_T0_C11R2_10,C2_T8_C11R2_3
C2,C11R2,10,4,95,5,C2_T8_C11R2_5-95_10_4,C2_T0_C11R2_10,C2_T8_C11R2_4
C2,C11R2,10,5,95,5,C2_T8_C11R2_5-95_10_5,C2_T0_C11R2_10,C2_T8_C11R2_5
C2,C11R2,10,6,95,5,C2_T8_C11R2_5-95_10_6,C2_T0_C11R2_10,C2_T8_C11R2_6
C2,C11R2,10,7,95,5,C2_T8_C11R2_5-95_10_7,C2_T0_C11R2_10,C2_T8_C11R2_7
C2,C11R2,10,8,95,5,C2_T8_C11R2_5-95_10_8,C2_T0_C11R2_10,C2_T0_C11R2_8
C2,C11R2,12,1,95,5,C2_T8_C11R2_5-95_12_1,C2_T8_C11R2_12,C2_T8_C11R2_1
C2,C11R2,12,10,95,5,C2_T8_C11R2_5-95_12_10,C2_T8_C11R2_12,C2_T0_C11R2_10
C2,C11R2,12,2,95,5,C2_T8_C11R2_5-95_12_2,C2_T8_C11R2_12,C2_T0_C11R2_2
C2,C11R2,12,3,95,5,C2_T8_C11R2_5-95_12_3,C2_T8_C11R2_12,C2_T8_C11R2_3
C2,C11R2,12,4,95,5,C2_T8_C11R2_5-95_12_4,C2_T8_C11R2_12,C2_T8_C11R2_4
C2,C11R2,12,5,95,5,C2_T8_C11R2_5-95_12_5,C2_T8_C11R2_12,C2_T8_C11R2_5
C2,C11R2,12,6,95,5,C2_T8_C11R2_5-95_12_6,C2_T8_C11R2_12,C2_T8_C11R2_6
C2,C11R2,12,7,95,5,C2_T8_C11R2_5-95_12_7,C2_T8_C11R2_12,C2_T8_C11R2_7
C2,C11R2,12,8,95,5,C2_T8_C11R2_5-95_12_8,C2_T8_C11R2_12,C2_T0_C11R2_8
C2,C11R2,2,1,95,5,C2_T8_C11R2_5-95_2_1,C2_T0_C11R2_2,C2_T8_C11R2_1
C2,C11R2,2,10,95,5,C2_T8_C11R2_5-95_2_10,C2_T0_C11R2_2,C2_T0_C11R2_10
C2,C11R2,2,12,95,5,C2_T8_C11R2_5-95_2_12,C2_T0_C11R2_2,C2_T8_C11R2_12
C2,C11R2,2,3,95,5,C2_T8_C11R2_5-95_2_3,C2_T0_C11R2_2,C2_T8_C11R2_3
C2,C11R2,2,4,95,5,C2_T8_C11R2_5-95_2_4,C2_T0_C11R2_2,C2_T8_C11R2_4
C2,C11R2,2,5,95,5,C2_T8_C11R2_5-95_2_5,C2_T0_C11R2_2,C2_T8_C11R2_5
C2,C11R2,2,6,95,5,C2_T8_C11R2_5-95_2_6,C2_T0_C11R2_2,C2_T8_C11R2_6
C2,C11R2,2,7,95,5,C2_T8_C11R2_5-95_2_7,C2_T0_C11R2_2,C2_T8_C11R2_7
C2,C11R2,2,8,95,5,C2_T8_C11R2_5-95_2_8,C2_T0_C11R2_2,C2_T0_C11R2_8
C2,C11R2,3,1,95,5,C2_T8_C11R2_5-95_3_1,C2_T8_C11R2_3,C2_T8_C11R2_1
C2,C11R2,3,10,95,5,C2_T8_C11R2_5-95_3_10,C2_T8_C11R2_3,C2_T0_C11R2_10
C2,C11R2,3,12,95,5,C2_T8_C11R2_5-95_3_12,C2_T8_C11R2_3,C2_T8_C11R2_12
C2,C11R2,3,2,95,5,C2_T8_C11R2_5-95_3_2,C2_T8_C11R2_3,C2_T0_C11R2_2
C2,C11R2,3,4,95,5,C2_T8_C11R2_5-95_3_4,C2_T8_C11R2_3,C2_T8_C11R2_4
C2,C11R2,3,5,95,5,C2_T8_C11R2_5-95_3_5,C2_T8_C11R2_3,C2_T8_C11R2_5
C2,C11R2,3,6,95,5,C2_T8_C11R2_5-95_3_6,C2_T8_C11R2_3,C2_T8_C11R2_6
