Sample,DNA Name,Length (bp),Concentration (ng/uL),Primer
552,D_T7_5543_P2_72,1000,0.83,27F
553,D_T7_5543_P2_73,1000,0.83,27F
554,D_T7_5543_P2_74,1000,0.83,27F
555,D_T7_5543_P2_75,1000,0.83,27F
556,D_T7_5543_P2_76,1000,0.83,27F
557,D_T7_5543_P2_77,1000,0.83,27F
558,D_T7_5543_P2_78,1000,0.83,27F
559,D_T7_5543_P2_79,1000,0.83,27F
560,D_T7_5543_P2_80,1000,0.83,27F
561,D_T7_5543_P2_81,1000,0.83,27F
562,D_T7_5543_P2_82,1000,0.83,27F
563,D_T7_5543_P2_83,1000,0.83,27F
564,D_T7_5543_P2_84,1000,0.83,27F
565,D_T7_5543_P2_85,1000,0.83,27F
566,D_T7_5543_P2_86,1000,0.83,27F
567,D_T7_5543_P2_87,1000,0.83,27F
568,D_T7_5543_P2_88,1000,0.83,27F
569,D_T7_5543_P2_89,1000,0.83,27F
570,D_T7_5543_P2_90,1000,0.83,27F
571,D_T7_5543_P2_91,1000,0.83,27F
572,D_T7_5543_P2_92,1000,0.83,27F
573,D_T7_5543_P2_93,1000,0.83,27F
574,D_T7_5543_P2_94,1000,0.83,27F
575,D_T7_5543_P2_95,1000,0.83,27F
576,D_T7_5543_P2_96,1000,0.83,27F
