Sample,DNA Name,Length (bp),Concentration (ng/uL),Primer
293,C2_T7_13B_P2_5,1000,0.83,27F
294,C2_T7_13B_P2_6,1000,0.83,27F
295,C2_T7_13B_P2_7,1000,0.83,27F
296,C2_T7_13B_P2_8,1000,0.83,27F
297,C2_T7_13B_P2_9,1000,0.83,27F
298,C2_T7_13B_P2_10,1000,0.83,27F
299,C2_T7_13B_P2_11,1000,0.83,27F
300,C2_T7_13B_P2_12,1000,0.83,27F
301,C2_T7_13B_P2_13,1000,0.83,27F
302,C2_T7_13B_P2_14,1000,0.83,27F
303,C2_T7_13B_P2_15,1000,0.83,27F
304,C2_T7_13B_P2_16,1000,0.83,27F
305,C2_T7_13B_P2_17,1000,0.83,27F
306,C2_T7_13B_P2_18,1000,0.83,27F
307,C2_T7_13B_P2_19,1000,0.83,27F
308,C2_T7_13B_P2_20,1000,0.83,27F
309,C2_T7_13B_P2_21,1000,0.83,27F
310,C2_T7_13B_P2_22,1000,0.83,27F
311,C2_T7_13B_P2_23,1000,0.83,27F
312,C2_T7_13B_P2_24,1000,0.83,27F
313,C2_T7_13B_P2_25,1000,0.83,27F
314,C2_T7_13B_P2_26,1000,0.83,27F
315,C2_T7_13B_P2_27,1000,0.83,27F
316,C2_T7_13B_P2_28,1000,0.83,27F
317,C2_T7_13B_P2_29,1000,0.83,27F
318,C2_T7_13B_P2_30,1000,0.83,27F
319,C2_T7_13B_P2_31,1000,0.83,27F
320,C2_T7_13B_P2_32,1000,0.83,27F
321,C2_T7_13B_P2_33,1000,0.83,27F
322,C2_T7_13B_P2_34,1000,0.83,27F
323,C2_T7_13B_P2_35,1000,0.83,27F
324,C2_T7_13B_P2_36,1000,0.83,27F
325,C2_T7_13B_P2_37,1000,0.83,27F
326,C2_T7_13B_P2_38,1000,0.83,27F
327,C2_T7_13B_P2_39,1000,0.83,27F
328,C2_T7_13B_P2_40,1000,0.83,27F
329,C2_T7_13B_P2_41,1000,0.83,27F
330,C2_T7_13B_P2_42,1000,0.83,27F
331,C2_T7_13B_P2_43,1000,0.83,27F
332,C2_T7_13B_P2_44,1000,0.83,27F
333,C2_T7_13B_P2_45,1000,0.83,27F
334,C2_T7_13B_P2_46,1000,0.83,27F
335,C2_T7_13B_P2_47,1000,0.83,27F
336,C2_T7_13B_P2_48,1000,0.83,27F
337,C2_T7_13B_P2_49,1000,0.83,27F
338,C2_T7_13B_P2_50,1000,0.83,27F
339,C2_T7_13B_P2_51,1000,0.83,27F
340,C2_T7_13B_P2_52,1000,0.83,27F
341,C2_T7_13B_P2_53,1000,0.83,27F
342,C2_T7_13B_P2_54,1000,0.83,27F
343,C2_T7_13B_P2_55,1000,0.83,27F
344,C2_T7_13B_P2_56,1000,0.83,27F
345,C2_T7_13B_P2_57,1000,0.83,27F
346,C2_T7_13B_P2_58,1000,0.83,27F
347,C2_T7_13B_P2_59,1000,0.83,27F
348,C2_T7_13B_P2_60,1000,0.83,27F
349,C2_T7_13B_P2_61,1000,0.83,27F
350,C2_T7_13B_P2_62,1000,0.83,27F
351,C2_T7_13B_P2_63,1000,0.83,27F
352,C2_T7_13B_P2_64,1000,0.83,27F
353,C2_T7_13B_P2_65,1000,0.83,27F
354,C2_T7_13B_P2_66,1000,0.83,27F
355,C2_T7_13B_P2_67,1000,0.83,27F
356,C2_T7_13B_P2_68,1000,0.83,27F
357,C2_T7_13B_P2_69,1000,0.83,27F
358,C2_T7_13B_P2_70,1000,0.83,27F
359,C2_T7_13B_P2_71,1000,0.83,27F
360,C2_T7_13B_P2_72,1000,0.83,27F
361,C2_T7_13B_P2_73,1000,0.83,27F
362,C2_T7_13B_P2_74,1000,0.83,27F
363,C2_T7_13B_P2_75,1000,0.83,27F
364,C2_T7_13B_P2_76,1000,0.83,27F
365,C2_T7_13B_P2_77,1000,0.83,27F
366,C2_T7_13B_P2_78,1000,0.83,27F
367,C2_T7_13B_P2_79,1000,0.83,27F
368,C2_T7_13B_P2_80,1000,0.83,27F
369,C2_T7_13B_P2_81,1000,0.83,27F
370,C2_T7_13B_P2_82,1000,0.83,27F
371,C2_T7_13B_P2_83,1000,0.83,27F
372,C2_T7_13B_P2_84,1000,0.83,27F
373,C2_T7_13B_P2_85,1000,0.83,27F
374,C2_T7_13B_P2_86,1000,0.83,27F
375,C2_T7_13B_P2_87,1000,0.83,27F
376,C2_T7_13B_P2_88,1000,0.83,27F
377,C2_T7_13B_P2_89,1000,0.83,27F
378,C2_T7_13B_P2_90,1000,0.83,27F
379,C2_T7_13B_P2_91,1000,0.83,27F
380,C2_T7_13B_P2_92,1000,0.83,27F
381,C2_T7_13B_P2_93,1000,0.83,27F
382,C2_T7_13B_P2_94,1000,0.83,27F
383,C2_T7_13B_P2_95,1000,0.83,27F
384,C2_T7_13B_P2_96,1000,0.83,27F
385,D_T7_75_P2_1,1000,0.83,27F
386,D_T7_75_P2_2,1000,0.83,27F
387,D_T7_75_P2_3,1000,0.83,27F
388,D_T7_75_P2_4,1000,0.83,27F
389,D_T7_75_P2_5,1000,0.83,27F
390,D_T7_75_P2_6,1000,0.83,27F
391,D_T7_75_P2_7,1000,0.83,27F
392,D_T7_75_P2_8,1000,0.83,27F
393,D_T7_75_P2_9,1000,0.83,27F
394,D_T7_75_P2_10,1000,0.83,27F
395,D_T7_75_P2_11,1000,0.83,27F
396,D_T7_75_P2_12,1000,0.83,27F
397,D_T7_75_P2_13,1000,0.83,27F
398,D_T7_75_P2_14,1000,0.83,27F
399,D_T7_75_P2_15,1000,0.83,27F
400,D_T7_75_P2_16,1000,0.83,27F
401,D_T7_75_P2_17,1000,0.83,27F
402,D_T7_75_P2_18,1000,0.83,27F
403,D_T7_75_P2_19,1000,0.83,27F
404,D_T7_75_P2_20,1000,0.83,27F
405,D_T7_75_P2_21,1000,0.83,27F
406,D_T7_75_P2_22,1000,0.83,27F
407,D_T7_75_P2_23,1000,0.83,27F
408,D_T7_75_P2_24,1000,0.83,27F
409,D_T7_75_P2_25,1000,0.83,27F
410,D_T7_75_P2_26,1000,0.83,27F
411,D_T7_75_P2_27,1000,0.83,27F
412,D_T7_75_P2_28,1000,0.83,27F
413,D_T7_75_P2_29,1000,0.83,27F
414,D_T7_75_P2_30,1000,0.83,27F
415,D_T7_75_P2_31,1000,0.83,27F
