Sample #,DNA Name,Length (bp),Concentration (ng/uL),Primer
1,C8R4_50_50_1_3,1000,0.83,27F
2,C8R4_95_5_1_3,1000,0.83,27F
3,C8R4_5_95_1_3,1000,0.83,27F
4,C2R6_50_50_1_3,1000,0.83,27F
5,C7R1_50_50_1_3,1000,0.83,27F
6,C7R1_50_50_1_4,1000,0.83,27F
7,C2R8_50_50_3_4,1000,0.83,27F
8,C2R6_95_5_1_3,1000,0.83,27F
9,C7R1_95_5_1_3,1000,0.83,27F
10,C7R1_95_5_1_4,1000,0.83,27F
11,C2R6_5_95_1_3,1000,0.83,27F
12,C2R8_95_5_3_4,1000,0.83,27F
13,C7R1_5_95_1_3,1000,0.83,27F
14,C2R8_5_95_3_4,1000,0.83,27F
15,C7R1_5_95_1_4,1000,0.83,27F
16,C11R2_50_50_2_9,1000,0.83,27F
17,C11R2_50_50_5_6,1000,0.83,27F
18,C11R2_50_50_8_9,1000,0.83,27F
19,C11R2_95_5_2_9,1000,0.83,27F
20,C11R2_95_5_5_6,1000,0.83,27F
21,C11R2_5_95_5_6,1000,0.83,27F
22,C11R2_95_5_8_9,1000,0.83,27F
23,C11R2_5_95_2_9,1000,0.83,27F
24,C11R2_5_95_8_9,1000,0.83,27F
25,C11R5_50_50_1_5,1000,0.83,27F
26,C11R5_50_50_3_5,1000,0.83,27F
27,C11R5_95_5_1_5,1000,0.83,27F
28,C11R5_95_5_3_5,1000,0.83,27F
29,C11R5_5_95_1_5,1000,0.83,27F
30,C11R5_5_95_3_5,1000,0.83,27F
31,C11R2_5,1000,0.83,27F
32,C11R2_9,1000,0.83,27F
33,C11R5_5,1000,0.83,27F
34,C2R6_1,1000,0.83,27F
35,C2R6_3,1000,0.83,27F
36,C2R8_3,1000,0.83,27F
37,C2R8_4,1000,0.83,27F
38,C7R1_1,1000,0.83,27F
39,C8R4_1,1000,0.83,27F
40,C8R4_3,1000,0.83,27F
41,mock,1000,0.83,27F
