Community,Isolate1,Isolate2,Isolate1InitialODFreq,Isolate2InitialODFreq,Isolate1Colony,Isolate2Colony,Replicate
EP,E,P,5,95,6,19,a
EP,E,P,50,50,12,9,a
EP,E,P,95,5,10,9,a
EP,E,P,5,95,8,12,b
EP,E,P,50,50,25,13,b
EP,E,P,95,5,10,18,b
