Community,Isolate1,Isolate2,Isolate1InitialODFreq,Isolate2InitialODFreq,Time,Isolate1MeasuredFreq,ErrorIsolate1MeasuredFreq,RawDataType,Contamination
RanAss2,3,5,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,3,6,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,3,7,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,3,8,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,1,4,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss2,2,4,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss2,3,4,0.95,0.05,T0,0.95,,Sanger,FALSE
RanAss2,4,5,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,4,6,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,4,7,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,4,8,0.05,0.95,T0,0.05,,Sanger,FALSE
RanAss2,1,2,0.05,0.95,T3,0.369527618318389,,Sanger,FALSE
RanAss2,1,3,0.05,0.95,T3,0.161931045447686,,Sanger,FALSE
RanAss2,1,4,0.05,0.95,T3,0.925929465025389,,Sanger,FALSE
RanAss2,1,5,0.05,0.95,T3,0.941812378851933,,Sanger,FALSE
RanAss2,1,6,0.05,0.95,T3,0.0700817232438716,,Sanger,FALSE
RanAss2,1,7,0.05,0.95,T3,0.91423374587757,,Sanger,FALSE
RanAss2,1,8,0.05,0.95,T3,0.102133928918713,,Sanger,FALSE
RanAss2,1,2,0.95,0.05,T3,0.818219619502869,,Sanger,FALSE
RanAss2,2,3,0.05,0.95,T3,0.0941402719113533,,Sanger,FALSE
RanAss2,2,4,0.05,0.95,T3,0.966345135592623,,Sanger,FALSE
RanAss2,2,5,0.05,0.95,T3,0.962236659331422,,Sanger,FALSE
RanAss2,2,6,0.05,0.95,T3,0.0554317332898006,,Sanger,FALSE
RanAss2,2,7,0.05,0.95,T3,0.942309124067391,,Sanger,FALSE
RanAss2,2,8,0.05,0.95,T3,0.069205448491875,,Sanger,FALSE
RanAss2,1,3,0.95,0.05,T3,0.75805357053811,,Sanger,FALSE
RanAss2,2,3,0.95,0.05,T3,0.90377025185477,,Sanger,FALSE
RanAss2,3,4,0.05,0.95,T3,0.946679582291988,,Sanger,FALSE
RanAss2,3,5,0.05,0.95,T3,0.955013758347596,,Sanger,FALSE
RanAss2,3,6,0.05,0.95,T3,0.208685337826275,,Sanger,FALSE
RanAss2,3,7,0.05,0.95,T3,0.95589517642782,,Sanger,FALSE
RanAss2,3,8,0.05,0.95,T3,0.300676549064701,,Sanger,FALSE
RanAss2,1,4,0.95,0.05,T3,0.853867812959208,,Sanger,FALSE
RanAss2,2,4,0.95,0.05,T3,0.867442862902352,,Sanger,FALSE
RanAss2,3,4,0.95,0.05,T3,0.800643278111103,,Sanger,FALSE
RanAss2,4,5,0.05,0.95,T3,0.219240115084421,,Sanger,FALSE
RanAss2,4,6,0.05,0.95,T3,0.0412796801724517,,Sanger,FALSE
RanAss2,4,7,0.05,0.95,T3,0.0951887549909497,,Sanger,FALSE
RanAss2,4,8,0.05,0.95,T3,0.0400487771398943,,Sanger,FALSE
RanAss2,1,5,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,2,5,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,3,5,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,4,5,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,5,6,0.05,0.95,T0,0.05,,OD,FALSE
RanAss2,5,7,0.05,0.95,T0,0.05,,OD,FALSE
RanAss2,5,8,0.05,0.95,T0,0.05,,OD,FALSE
RanAss2,1,6,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,2,6,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,3,6,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,4,6,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,5,6,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,6,7,0.05,0.95,T0,0.05,,OD,FALSE
RanAss2,6,8,0.05,0.95,T0,0.05,,OD,FALSE
RanAss2,1,7,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,2,7,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,3,7,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,4,7,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,5,7,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,6,7,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,7,8,0.05,0.95,T0,0.05,,OD,FALSE
RanAss2,1,8,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,2,8,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,3,8,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,4,8,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,5,8,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,6,8,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,7,8,0.95,0.05,T0,0.95,,OD,FALSE
RanAss2,1,5,0.95,0.05,T3,0.971779452491812,,Sanger,FALSE
RanAss2,2,5,0.95,0.05,T3,0.961897867242774,,Sanger,FALSE
RanAss2,3,5,0.95,0.05,T3,0.950600517375334,,Sanger,FALSE
RanAss2,4,5,0.95,0.05,T3,0.0525724873627234,,Sanger,FALSE
RanAss2,5,6,0.05,0.95,T3,0.0180591868820446,,Sanger,FALSE
RanAss2,5,7,0.05,0.95,T3,0.0846988669038558,,Sanger,FALSE
RanAss2,5,8,0.05,0.95,T3,0.0385318267832971,,Sanger,FALSE
RanAss2,1,6,0.95,0.05,T3,0.709910904818229,,Sanger,FALSE
RanAss2,2,6,0.95,0.05,T3,0.0666335321262661,,Sanger,FALSE
RanAss2,3,6,0.95,0.05,T3,0.914042078623293,,Sanger,FALSE
RanAss2,4,6,0.95,0.05,T3,0.0339362687081941,,Sanger,FALSE
RanAss2,5,6,0.95,0.05,T3,0.0203388345987569,,Sanger,FALSE
RanAss2,6,7,0.05,0.95,T3,0.976404134774216,,Sanger,FALSE
RanAss2,6,8,0.05,0.95,T3,0.778257428864215,,Sanger,FALSE
RanAss2,1,7,0.95,0.05,T3,0.964498508568732,,Sanger,FALSE
RanAss2,2,7,0.95,0.05,T3,0.929552240921397,,Sanger,FALSE
RanAss2,3,7,0.95,0.05,T3,0.950294628097688,,Sanger,FALSE
RanAss2,4,7,0.95,0.05,T3,0.933383666109515,,Sanger,FALSE
RanAss2,5,7,0.95,0.05,T3,0.0731965963994836,,Sanger,FALSE
RanAss2,6,7,0.95,0.05,T3,0.962899754351257,,Sanger,FALSE
RanAss2,7,8,0.05,0.95,T3,0.0663121775245725,,Sanger,FALSE
RanAss2,1,8,0.95,0.05,T3,0.529502743245224,,Sanger,FALSE
RanAss2,2,8,0.95,0.05,T3,0.940848984228388,,Sanger,FALSE
RanAss2,3,8,0.95,0.05,T3,0.936988458990656,,Sanger,FALSE
RanAss2,4,8,0.95,0.05,T3,0.0604784474090201,,Sanger,FALSE
RanAss2,5,8,0.95,0.05,T3,0.090597132814427,,Sanger,FALSE
RanAss2,6,8,0.95,0.05,T3,0.0311797405087185,,Sanger,FALSE
RanAss2,7,8,0.95,0.05,T3,0.0535279689438291,,Sanger,FALSE
