Community,Isolate1,Isolate2,Isolate1InitialODFreq,Isolate2InitialODFreq,Time,Isolate1MeasuredFreq,ErrorIsolate1MeasuredFreq,RawDataType,Contamination
AcrAss1,4,6,0.05,0.95,T3,0.868407552470231,,Sanger,FALSE
AcrAss1,4,7,0.05,0.95,T3,0.0886997940169927,,Sanger,FALSE
AcrAss1,4,8,0.05,0.95,T3,0.075765590488938,,Sanger,FALSE
AcrAss1,1,5,0.95,0.05,T3,0.0597368236608756,,Sanger,FALSE
AcrAss1,2,5,0.95,0.05,T3,0.0976008247162209,,Sanger,FALSE
AcrAss1,3,5,0.95,0.05,T3,0.146354112908623,,Sanger,FALSE
AcrAss1,4,5,0.95,0.05,T3,0.156405476427967,,Sanger,FALSE
AcrAss1,5,6,0.05,0.95,T3,0.885785896931053,,Sanger,FALSE
AcrAss1,5,7,0.05,0.95,T3,0.386697325043168,,Sanger,FALSE
AcrAss1,5,8,0.05,0.95,T3,0.206864165561733,,Sanger,FALSE
AcrAss1,1,6,0.95,0.05,T3,0.814249336539343,,Sanger,FALSE
AcrAss1,2,6,0.95,0.05,T3,0.960117107202332,,Sanger,FALSE
AcrAss1,3,6,0.95,0.05,T3,0.97573508742256,,Sanger,FALSE
AcrAss1,4,6,0.95,0.05,T3,0.539917198919527,,Sanger,FALSE
AcrAss1,5,6,0.95,0.05,T3,0.950848541902869,,Sanger,FALSE
AcrAss1,6,7,0.05,0.95,T3,0.0380958604020569,,Sanger,FALSE
AcrAss1,6,8,0.05,0.95,T3,0.0389526633215047,,Sanger,FALSE
AcrAss1,1,7,0.95,0.05,T3,0.0410800012740627,,Sanger,FALSE
AcrAss1,2,7,0.95,0.05,T3,0.141336178303198,,Sanger,FALSE
AcrAss1,3,7,0.95,0.05,T3,0.719039303259292,,Sanger,FALSE
AcrAss1,4,7,0.95,0.05,T3,0.450718646876607,,Sanger,FALSE
AcrAss1,5,7,0.95,0.05,T3,0.874231504720824,,Sanger,FALSE
AcrAss1,6,7,0.95,0.05,T3,0.0427919701064718,,Sanger,FALSE
AcrAss1,7,8,0.05,0.95,T3,0.151030905883747,,Sanger,FALSE
AcrAss1,1,8,0.95,0.05,T3,0.0574456969583277,,Sanger,FALSE
AcrAss1,2,8,0.95,0.05,T3,0.0954975327542535,,Sanger,FALSE
AcrAss1,3,8,0.95,0.05,T3,0.379395162008423,,Sanger,FALSE
AcrAss1,4,8,0.95,0.05,T3,0.601383515251353,,Sanger,FALSE
AcrAss1,5,8,0.95,0.05,T3,0.884872732529439,,Sanger,FALSE
AcrAss1,6,8,0.95,0.05,T3,0.0483303775793621,,Sanger,FALSE
AcrAss1,7,8,0.95,0.05,T3,0.889061821998917,,Sanger,FALSE
AcrAss2,1,2,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,3,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,4,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,5,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,6,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,7,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,8,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,2,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,2,3,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,2,4,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,2,5,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,2,6,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,2,7,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,2,8,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,3,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,2,3,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,3,4,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,3,5,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,3,6,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,3,7,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,3,8,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,4,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,2,4,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,3,4,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,4,5,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,4,6,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,4,7,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,4,8,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,5,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,2,5,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,3,5,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,4,5,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,5,6,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,5,7,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,5,8,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,6,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,2,6,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,3,6,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,4,6,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,5,6,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,6,7,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,6,8,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,7,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,2,7,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,3,7,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,4,7,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,5,7,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,6,7,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,7,8,0.05,0.95,T0,0.05,,OD,FALSE
AcrAss2,1,8,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,2,8,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,3,8,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,4,8,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,5,8,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,6,8,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,7,8,0.95,0.05,T0,0.95,,OD,FALSE
AcrAss2,1,2,0.05,0.95,T3,0.0470303057440447,,Sanger,FALSE
AcrAss2,1,3,0.05,0.95,T3,0.978191504505271,,Sanger,FALSE
AcrAss2,1,4,0.05,0.95,T3,0.977063328232903,,Sanger,FALSE
AcrAss2,1,5,0.05,0.95,T3,0.921124765164519,,Sanger,FALSE
AcrAss2,1,6,0.05,0.95,T3,0.870373119935504,,Sanger,FALSE
AcrAss2,1,7,0.05,0.95,T3,0.0252990939383263,,Sanger,FALSE
AcrAss2,1,8,0.05,0.95,T3,0.0320105948293186,,Sanger,FALSE
AcrAss2,1,2,0.95,0.05,T3,0.920967445474138,,Sanger,FALSE
AcrAss2,2,3,0.05,0.95,T3,0.882168947986564,,Sanger,FALSE
AcrAss2,2,4,0.05,0.95,T3,0.897991837908841,,Sanger,FALSE
AcrAss2,2,5,0.05,0.95,T3,0.953175229309512,,Sanger,FALSE
AcrAss2,2,6,0.05,0.95,T3,0.755845963099425,,Sanger,FALSE
AcrAss2,2,7,0.05,0.95,T3,0.0377189457552676,,Sanger,FALSE
AcrAss2,2,8,0.05,0.95,T3,0.0418733249332026,,Sanger,FALSE
AcrAss2,1,3,0.95,0.05,T3,0.959213019438845,,Sanger,FALSE
AcrAss2,2,3,0.95,0.05,T3,0.905007410726258,,Sanger,FALSE
AcrAss2,3,4,0.05,0.95,T3,0.1434890491154,,Sanger,FALSE
AcrAss2,3,5,0.05,0.95,T3,0.905567690581911,,Sanger,FALSE
