Community,Isolate1,Isolate2,PairTreeDistance
C1R2,1,2,0.366188920084121
C1R2,1,3,0.19405331036364
C1R2,1,4,0.364413330124725
C1R2,2,3,0.360994985486097
C1R2,2,4,0.128997595141119
C1R2,3,4,0.359219395526701
C1R4,1,2,0.334282969664626
C1R4,1,3,0.138501740151508
C1R4,1,4,0.366067316607503
C1R4,1,5,0.366316397174526
C1R4,2,3,0.339583870202104
C1R4,2,4,0.0651993852682572
C1R4,2,5,0.0654484658352808
C1R4,3,4,0.371368217144981
C1R4,3,5,0.371617297712004
C1R4,4,5,0.0205524953149177
C1R6,1,2,0.352378001393653
C1R6,1,3,0.0886442142335321
C1R6,1,4,0.365789472071332
C1R6,1,5,0.369834162715959
C1R6,2,3,0.349308432684879
C1R6,2,4,0.176063151849297
C1R6,2,5,0.0805151912101449
C1R6,3,4,0.362719903362558
C1R6,3,5,0.366764594007186
C1R6,4,5,0.193519313171604
C1R7,1,2,0.346017138078099
C1R7,1,3,0.121976368876463
C1R7,1,4,0.17398269999922
C1R7,1,5,0.0658366767943572
C1R7,1,6,0.0984914299033077
C1R7,1,7,0.136038706893171
C1R7,2,3,0.368903492184787
C1R7,2,4,0.359870025393423
C1R7,2,5,0.35131665347234
C1R7,2,6,0.38397140658129
C1R7,2,7,0.382965830201495
C1R7,3,4,0.196869054105907
C1R7,3,5,0.127275884270704
C1R7,3,6,0.159930637379654
C1R7,3,7,0.123974000011177
C1R7,4,5,0.17928221539346
C1R7,4,6,0.211936968502411
C1R7,4,7,0.210931392122616
C1R7,5,6,0.0909940838478366
C1R7,5,7,0.141338222287412
C1R7,6,7,0.173992975396363
C2R6,1,2,0.1288250261315
C2R6,1,3,0.0540683094605488
C2R6,2,3,0.155313688636272
C2R8,1,2,0.146311799828767
C2R8,1,3,0.383788257713403
C2R8,1,4,0.382335201082023
C2R8,2,3,0.357133758223144
C2R8,2,4,0.355680701591763
C2R8,3,4,-0.000189390003789515
C4R1,1,2,0.347235248214453
C4R1,1,3,0.387783861611927
C4R1,2,3,0.405303143762123
C7R1,1,2,0.352498815776644
C7R1,1,3,-3.54693898646763e-05
C7R1,1,4,0.000160664842813789
C7R1,2,3,0.352534285166508
C7R1,2,4,0.347496705902087
C7R1,3,4,0.000196134232678466
C8R4,1,2,0.353952179888694
C8R4,1,3,0
C8R4,2,3,0.353614386678219
C10R2,1,2,0.355144054644673
C11R1,1,2,0.388707419328545
C11R1,1,3,0.3703505952156
C11R1,1,4,0.362821521415768
C11R1,1,5,0.34325017943584
C11R1,1,6,0.393189442002746
C11R1,1,7,0.401185347637406
C11R1,1,8,0.384344455611368
C11R1,1,9,0.396774737976218
C11R1,2,3,0.419120997420768
C11R1,2,4,0.411591923620936
C11R1,2,5,0.392020581641007
C11R1,2,6,0.441959844207913
C11R1,2,7,0.449955749842573
C11R1,2,8,0
C11R1,2,9,0.369253335201785
C11R1,3,4,0.35415913588358
C11R1,3,5,0.334587793903652
C11R1,3,6,0.384527056470558
C11R1,3,7,0.392522962105218
C11R1,3,8,0.41475803370359
C11R1,3,9,0.427188316068441
C11R1,4,5,0.0930246817510694
C11R1,4,6,0.0822180495619469
C11R1,4,7,0.0902139551966069
C11R1,4,8,0.407228959903758
C11R1,4,9,0.419659242268609
C11R1,5,6,0.123392602338047
C11R1,5,7,0.131388507972707
C11R1,5,8,0.38765761792383
C11R1,5,9,0.400087900288681
C11R1,6,7,0.00270826983898798
C11R1,6,8,0.437596880490736
C11R1,6,9,0.450027162855587
C11R1,7,8,0.445592786125396
C11R1,7,9,0.458023068490247
C11R1,8,9,0.364890371484608
C11R2,1,2,0.379635048104449
C11R2,1,3,0.279820091375907
C11R2,1,4,0.297777388253935
C11R2,1,5,0.295673801278811
C11R2,1,6,0.253554932678834
C11R2,1,7,0.278723744325152
C11R2,1,8,0.36578172388921
C11R2,1,9,0.416478259319045
C11R2,1,10,0.37033672544819
C11R2,1,11,0.275783116602547
C11R2,1,12,0.279111267216045
C11R2,2,3,0.376486489358862
C11R2,2,4,0.394443786236891
C11R2,2,5,0.392340199261767
C11R2,2,6,0.35022133066179
C11R2,2,7,0.375390142308107
C11R2,2,8,0.00512918179491884
C11R2,2,9,0.419048148077684
C11R2,2,10,0.372906614206828
C11R2,2,11,0.372449514585503
C11R2,2,12,0.375777665199
C11R2,3,4,0.0768859647198347
C11R2,3,5,0.152587713404791
C11R2,3,6,0.110468844804814
C11R2,3,7,0.000354412079930937
C11R2,3,8,0.362633165143623
C11R2,3,9,0.413329700573458
C11R2,3,10,0.367188166702602
C11R2,3,11,0.193736826642647
C11R2,3,12,0
C11R2,4,5,0.170545010282819
C11R2,4,6,0.128426141682842
