Community,Isolate1,Isolate2,PairTreeDistance
C11R2,4,7,0.0757896176690796
C11R2,4,8,0.380590462021651
C11R2,4,9,0.431286997451487
C11R2,4,10,0.385145463580631
C11R2,4,11,0.211694123520675
C11R2,4,12,0.0761771405599728
C11R2,5,6,0.111435669202513
C11R2,5,7,0.151491366354035
C11R2,5,8,0.378486875046527
C11R2,5,9,0.429183410476363
C11R2,5,10,0.383041876605507
C11R2,5,11,0.209590536545552
C11R2,5,12,0.151878889244929
C11R2,6,7,0.109372497754059
C11R2,6,8,0.336368006446551
C11R2,6,9,0.387064541876386
C11R2,6,10,0.34092300800553
C11R2,6,11,0.167471667945575
C11R2,6,12,0.109760020644952
C11R2,7,8,0.361536818092868
C11R2,7,9,0.412233353522703
C11R2,7,10,0.366091819651847
C11R2,7,11,0.192640479591892
C11R2,7,12,-0.000354412079930937
C11R2,8,9,0.405194823862444
C11R2,8,10,0.359053289991588
C11R2,8,11,0.358596190370263
C11R2,8,12,0.361924340983761
C11R2,9,10,0.370673861797014
C11R2,9,11,0.409292725800099
C11R2,9,12,0.412620876413597
C11R2,10,11,0.363151191929243
C11R2,10,12,0.366479342542741
C11R2,11,12,0.193028002482785
C11R5,1,2,0.400717378726253
C11R5,1,3,0.000119250639064869
C11R5,1,4,0
C11R5,1,5,0.39057603439334
C11R5,2,3,0.400303120702101
C11R5,2,4,0.400478877448123
C11R5,2,5,0.00157493488497878
C11R5,3,4,-0.000119250639064869
C11R5,3,5,0.390161776369189
C11R5,4,5,0.390337533115211
