MixtureName,Treatment,Isolate1Freq,Isolate2Freq,Isolate1,Isolate2,Isolate1FreqPredicted,Isolate2FreqPredicted
OD_1_99_AB-27F_R,OD,0.01,0.99,A,B,0.980316115,0.019683885
OD_5_95_AB-27F_R,OD,0.05,0.95,A,B,0.972967756,0.027032244
AM_1_99_AC-27F_R,AM,0.01,0.99,A,C,0.191488778,0.808511222
OD_5_95_AC-27F,OD,0.05,0.95,A,C,0.067906733,0.932093267
OD_50_50_AC-27F_R,OD,0.5,0.5,A,C,0.202500356,0.797499644
OD_1_99_AC-27F_R,OD,0.01,0.99,A,C,0.195705071,0.804294929
AM_5_95_AD-27F,AM,0.05,0.95,A,D,0.036977146,0.963022854
AM_1_99_AD-27F,AM,0.01,0.99,A,D,0,1
AM_5_95_AD-27F,AM,0.05,0.95,A,D,0.036977146,0.963022854
OD_1_99_AD-27F,OD,0.01,0.99,A,D,0.03967449,0.96032551
OD_50_50_AD-27F,OD,0.5,0.5,A,D,0.042789802,0.957210198
OD_5_95_AD-27F_R,OD,0.05,0.95,A,D,0.127263484,0.872736516
AM_1_99_CD-27F,AM,0.01,0.99,C,D,0.101156915,0.898843085
AM_5_95_CD-27F,AM,0.05,0.95,C,D,0.047364741,0.952635259
OD_1_99_CD-27F,OD,0.01,0.99,C,D,0.015340825,0.984659175
OD_5_95_CD-27F,OD,0.05,0.95,C,D,0.050284444,0.949715556
