"Community","Isolate1","Isolate2","Isolate1Freq","Isolate2Freq","Time","ErrorCellFreq1","CellFreq1"
"C1R6","1","3","5","95","T0",0.0322727910368166,0.0936395759717314
"C1R6","1","4","5","95","T0",0.0560462119554795,0.153465346534653
"C1R6","1","5","5","95","T0",0.0330060483522493,0.088809946714032
"C1R6","2","3","5","95","T0",0.0184028158086349,0.0618828176431863
"C1R6","2","4","5","95","T0",0.0231913280219474,0.0782664941785252
"C1R6","2","5","5","95","T0",0.0167373852494524,0.0544127405441274
"C1R6","3","4","5","95","T0",0.0516883044688929,0.163814180929095
"C1R6","3","5","5","95","T0",0.0233358628462328,0.0668485675306958
"C1R6","4","5","5","95","T0",0.0135087659690602,0.0412224591329069
"C1R6","1","2","50","50","T0",0.0839009230393367,0.742857142857143
"C1R6","1","3","50","50","T0",0.106243047575941,0.470588235294118
"C1R6","1","4","50","50","T0",0.0637839059582345,0.818791946308725
"C1R6","1","5","50","50","T0",0.0870426750318331,0.686046511627907
"C1R6","2","3","50","50","T0",0.078083573534293,0.558823529411765
"C1R6","2","4","50","50","T0",0.0847029055306317,0.464285714285714
"C1R6","2","5","50","50","T0",NA,NA
"C1R6","3","4","50","50","T0",0.0667909686791404,0.770700636942675
"C1R6","3","5","50","50","T0",0.0856356147596779,0.628865979381443
"C1R6","4","5","50","50","T0",0.0807374047333475,0.541935483870968
"C1R6","1","2","95","5","T0",0.00771827873214218,0.982107355864811
"C1R6","1","3","95","5","T0",0.0140096002133947,0.963013698630137
"C1R6","1","4","95","5","T0",0.00470258761389652,0.988934426229508
"C1R6","1","5","95","5","T0",0.0121954401925235,0.969387755102041
"C1R6","2","3","95","5","T0",0.0128085009824473,0.957983193277311
"C1R6","2","4","95","5","T0",0.00851985276101074,0.972577696526508
"C1R6","2","5","95","5","T0",NA,NA
"C1R6","3","4","95","5","T0",0.00685699748306514,0.981585677749361
"C1R6","3","5","95","5","T0",0.0065431151656108,0.981404958677686
"C1R6","4","5","95","5","T0",0.00977535926851263,0.968261063924899
"C1R7","1","2","5","95","T0",0.0252004045143568,0.0869925434962718
"C1R7","1","3","5","95","T0",0.0290433237520863,0.0974610974610974
"C1R7","1","4","5","95","T0",0.037845867699247,0.127474267616785
"C1R7","1","5","5","95","T0",0.0282348885676745,0.095980311730927
"C1R7","1","6","5","95","T0",0.0352696069805623,0.120510774142059
"C1R7","1","7","5","95","T0",0.0299388350180264,0.104065040650407
"C1R7","2","3","5","95","T0",0.0203428372681628,0.0514372163388805
"C1R7","2","4","5","95","T0",0.0618916153356032,0.181462140992167
"C1R7","2","5","5","95","T0",0.0389636874176629,0.118143459915612
"C1R7","2","6","5","95","T0",0.0241014001832498,0.061377245508982
"C1R7","2","7","5","95","T0",0.0440079467281079,0.141095890410959
"C1R7","3","4","5","95","T0",0.0282806792839359,0.0932452276064611
"C1R7","3","5","5","95","T0",0.0106070183933339,0.028324154209284
"C1R7","3","6","5","95","T0",0.0146306839189042,0.0433772269558482
"C1R7","3","7","5","95","T0",0.0250129271060603,0.0858623242042931
"C1R7","4","5","5","95","T0",0.0133849469868075,0.0428724544480171
"C1R7","4","6","5","95","T0",0.0198521420084496,0.0673629242819843
"C1R7","4","7","5","95","T0",0.0215691258109743,0.0755693581780538
"C1R7","5","6","5","95","T0",0.0176188606914993,0.0517560073937153
"C1R7","5","7","5","95","T0",0.0298676946089404,0.102362204724409
"C1R7","6","7","5","95","T0",0.0234593620675735,0.0814249363867685
"C1R7","1","2","50","50","T0",0.0645509352062385,0.71
"C1R7","1","3","50","50","T0",0.0795358210026744,0.610738255033557
"C1R7","1","4","50","50","T0",0.0843117388381179,0.591549295774648
"C1R7","1","5","50","50","T0",0.0791044443663324,0.602739726027397
"C1R7","1","6","50","50","T0",0.0806892738852106,0.610738255033557
"C1R7","1","7","50","50","T0",0.0678134373089199,0.696335078534031
"C1R7","2","3","50","50","T0",0.0959013360663926,0.597560975609756
"C1R7","2","4","50","50","T0",0.0559595447913891,0.839805825242719
"C1R7","2","5","50","50","T0",0.101137452579557,0.507462686567164
"C1R7","2","6","50","50","T0",0.102252665587938,0.565789473684211
"C1R7","2","7","50","50","T0",0.0660425404753523,0.760869565217391
"C1R7","3","4","50","50","T0",0.0818166510313538,0.59375
"C1R7","3","5","50","50","T0",0.0885329599640721,0.35
"C1R7","3","6","50","50","T0",0.0900421290285831,0.35
"C1R7","3","7","50","50","T0",0.0675215579800763,0.69047619047619
"C1R7","4","5","50","50","T0",0.0742674909164498,0.60337552742616
"C1R7","4","6","50","50","T0",0.0749543976711938,0.606694560669456
"C1R7","4","7","50","50","T0",0.0743557106952771,0.598290598290598
"C1R7","5","6","50","50","T0",0.0913517276185893,0.475728155339806
