"Community","Isolate1","Isolate2","Isolate1Freq","Isolate2Freq","CellFreq1T0","CellFreq1T8","ErrorCellFreq1T0","ErrorCellFreq1T8"
"C1R2","1","2",5,95,0.0693877551020408,1,0.023378370552796,0
"C1R2","1","3",5,95,0.283018867924528,0,0.0684748102332456,0
"C1R2","1","4",5,95,0.0513176144244105,1,0.0168916502295479,0
"C1R2","2","3",5,95,0.178270042194093,0,0.0482419622621475,0
"C1R2","2","4",5,95,0.161463939720129,0.6,0.0415032909001597,0.04
"C1R2","3","4",5,95,NA,NA,NA,NA
"C1R2","1","2",50,50,0.595505617977528,1,0.0868673272667244,0
"C1R2","1","3",50,50,0.849372384937239,0,0.0432447560344443,0
"C1R2","1","4",50,50,0.657142857142857,1,0.0718331221520024,0
"C1R2","2","3",50,50,0.803827751196172,0,0.0519340701247432,0
"C1R2","2","4",50,50,0.717241379310345,0.634615384615385,0.0628157259882738,0.0472186707515857
"C1R2","3","4",50,50,0.837837837837838,1,0.0419048432282299,0
"C1R2","1","2",95,5,0.977941176470588,1,0.00754528222667729,0
"C1R2","1","3",95,5,0.98406374501992,0.897435897435897,0.00534137134700268,0.0280482958681151
"C1R2","1","4",95,5,0.982274741506647,1,0.00543250500764601,0
"C1R2","2","3",95,5,0.988942826321467,0,0.00359551706372028,0
"C1R2","2","4",95,5,0.974660074165637,0.855421686746988,0.0077353948056006,0.0386013646974447
"C1R2","3","4",95,5,0.990228013029316,1,0.00298350400176645,0
"C1R4","1","2",5,95,0.247848537005164,0,0.0837895813987189,0
"C1R4","1","3",5,95,0.08,0,0.0351575453471451,0
"C1R4","1","4",5,95,0.109979633401222,0,0.0409212918042217,0
"C1R4","1","5",5,95,0.10082304526749,0,0.0396815606631917,0
"C1R4","2","3",5,95,0.0952380952380952,1,0.0282788324037016,0
"C1R4","2","4",5,95,NA,NA,NA,NA
"C1R4","2","5",5,95,NA,NA,NA,NA
"C1R4","3","4",5,95,0.0392452830188679,0,0.0130590904139838,0
"C1R4","3","5",5,95,NA,NA,NA,NA
"C1R4","4","5",5,95,NA,NA,NA,NA
"C1R4","1","2",50,50,0.825757575757576,0,0.0648024750992219,0
"C1R4","1","3",50,50,0.738636363636364,0.938461538461538,0.0900747197513757,0.0298074537115856
"C1R4","1","4",50,50,0.634920634920635,0,0.098686614032372,0
"C1R4","1","5",50,50,0.741573033707865,0,0.0829367833714684,0
"C1R4","2","3",50,50,0.590604026845638,1,0.080731728681388,0
"C1R4","2","4",50,50,NA,NA,NA,NA
"C1R4","2","5",50,50,NA,NA,NA,NA
"C1R4","3","4",50,50,0.37962962962963,0,0.0865438577703235,0
"C1R4","3","5",50,50,0.407079646017699,0,0.0865640966886461,0
"C1R4","4","5",50,50,NA,NA,NA,NA
"C1R4","1","2",95,5,0.987150837988827,0,0.00572290407577421,0
"C1R4","1","3",95,5,0.980223559759243,0.883333333333333,0.00906444045120481,0.0414438486701295
"C1R4","1","4",95,5,0.96831955922865,0,0.0131476453859717,0
"C1R4","1","5",95,5,0.988271290158083,0,0.00497500633902191,0
"C1R4","2","3",95,5,0.969484742371186,1,0.00978821901127969,0
"C1R4","2","4",95,5,NA,NA,NA,NA
"C1R4","2","5",95,5,NA,NA,NA,NA
"C1R4","3","4",95,5,0.843457943925234,0,0.0699637900332204,0
"C1R4","3","5",95,5,0.953920220082531,0,0.0145477747558571,0
"C1R4","4","5",95,5,NA,NA,NA,NA
"C1R6","1","2",5,95,NA,NA,NA,NA
"C1R6","1","3",5,95,0.0936395759717314,0,0.0322727910368166,0
"C1R6","1","4",5,95,0.153465346534653,0,0.0560462119554795,0
"C1R6","1","5",5,95,0.088809946714032,0,0.0330060483522493,0
"C1R6","2","3",5,95,0.0618828176431863,1,0.0184028158086349,0
"C1R6","2","4",5,95,0.0782664941785252,1,0.0231913280219474,0
"C1R6","2","5",5,95,0.0544127405441274,1,0.0167373852494524,0
"C1R6","3","4",5,95,0.163814180929095,0.00746268656716418,0.0516883044688929,0.00743478857580354
"C1R6","3","5",5,95,0.0668485675306958,0,0.0233358628462328,0
"C1R6","4","5",5,95,0.0412224591329069,0,0.0135087659690602,0
"C1R6","1","2",50,50,0.742857142857143,0,0.0839009230393367,0
"C1R6","1","3",50,50,0.470588235294118,0,0.106243047575941,0
"C1R6","1","4",50,50,0.818791946308725,0,0.0637839059582345,0
"C1R6","1","5",50,50,0.686046511627907,0,0.0870426750318331,0
"C1R6","2","3",50,50,0.558823529411765,1,0.078083573534293,0
"C1R6","2","4",50,50,0.464285714285714,1,0.0847029055306317,0
"C1R6","2","5",50,50,NA,NA,NA,NA
"C1R6","3","4",50,50,0.770700636942675,0.471074380165289,0.0667909686791404,0.0453784188446026
"C1R6","3","5",50,50,0.628865979381443,0,0.0856356147596779,0
"C1R6","4","5",50,50,0.541935483870968,0.0238095238095238,0.0807374047333475,0.0166342412144231
"C1R6","1","2",95,5,0.982107355864811,0,0.00771827873214218,0
"C1R6","1","3",95,5,0.963013698630137,0,0.0140096002133947,0
"C1R6","1","4",95,5,0.988934426229508,0,0.00470258761389652,0
"C1R6","1","5",95,5,0.969387755102041,0,0.0121954401925235,0
"C1R6","2","3",95,5,0.957983193277311,1,0.0128085009824473,0
"C1R6","2","4",95,5,0.972577696526508,1,0.00851985276101074,0
"C1R6","2","5",95,5,NA,NA,NA,NA
"C1R6","3","4",95,5,0.981585677749361,0.0594059405940594,0.00685699748306514,0.0235209775374825
"C1R6","3","5",95,5,0.981404958677686,0,0.0065431151656108,0
"C1R6","4","5",95,5,0.968261063924899,0.903508771929825,0.00977535926851263,0.0276539821338064
"C1R7","1","2",5,95,0.0869925434962718,1,0.0252004045143568,0
"C1R7","1","3",5,95,0.0974610974610974,1,0.0290433237520863,0
"C1R7","1","4",5,95,0.127474267616785,1,0.037845867699247,0
"C1R7","1","5",5,95,0.095980311730927,1,0.0282348885676745,0
"C1R7","1","6",5,95,0.120510774142059,1,0.0352696069805623,0
"C1R7","1","7",5,95,0.104065040650407,0.140625,0.0299388350180264,0.0307268217237349
"C1R7","2","3",5,95,0.0514372163388805,0,0.0203428372681628,0
"C1R7","2","4",5,95,0.181462140992167,0,0.0618916153356032,0
"C1R7","2","5",5,95,0.118143459915612,0,0.0389636874176629,0
"C1R7","2","6",5,95,0.061377245508982,0,0.0241014001832498,0
"C1R7","2","7",5,95,0.141095890410959,0,0.0440079467281079,0
"C1R7","3","4",5,95,0.0932452276064611,0,0.0282806792839359,0
"C1R7","3","5",5,95,0.028324154209284,0.25,0.0106070183933339,0.0721687836487032
"C1R7","3","6",5,95,0.0433772269558482,0.464285714285714,0.0146306839189042,0.0666446452939446
"C1R7","3","7",5,95,0.0858623242042931,0,0.0250129271060603,0
"C1R7","4","5",5,95,0.0428724544480171,0.5375,0.0133849469868075,0.0557442541882121
"C1R7","4","6",5,95,0.0673629242819843,1,0.0198521420084496,0
"C1R7","4","7",5,95,0.0755693581780538,0,0.0215691258109743,0
"C1R7","5","6",5,95,0.0517560073937153,0,0.0176188606914993,0
"C1R7","5","7",5,95,0.102362204724409,0,0.0298676946089404,0
"C1R7","6","7",5,95,0.0814249363867685,0,0.0234593620675735,0
"C1R7","1","2",50,50,0.71,1,0.0645509352062385,0
"C1R7","1","3",50,50,0.610738255033557,1,0.0795358210026744,0
"C1R7","1","4",50,50,0.591549295774648,1,0.0843117388381179,0
"C1R7","1","5",50,50,0.602739726027397,1,0.0791044443663324,0
"C1R7","1","6",50,50,0.610738255033557,1,0.0806892738852106,0
"C1R7","1","7",50,50,0.696335078534031,0.285714285714286,0.0678134373089199,0.0391720355076487
"C1R7","2","3",50,50,0.597560975609756,0,0.0959013360663926,0
"C1R7","2","4",50,50,0.839805825242719,0,0.0559595447913891,0
"C1R7","2","5",50,50,0.507462686567164,0,0.101137452579557,0
"C1R7","2","6",50,50,0.565789473684211,0,0.102252665587938,0
"C1R7","2","7",50,50,0.760869565217391,0,0.0660425404753523,0
"C1R7","3","4",50,50,0.59375,0,0.0818166510313538,0
