Community,Isolate,ExpID,ID
C11R1,1,11.1.A.1,335
C11R1,2,11.1.A.2,452
C11R1,3,11.1.A.3,336
C11R1,4,11.1.A.4,332
C11R1,8,11.1.C.2,341
C11R1,9,11.1.C.3,342
C11R2,2,11.2.A.2,453
C11R2,3,11.2.A.3,344
C11R2,5,11.2.B.1,346
C11R2,6,11.2.B.2,280
C11R2,7,11.2.B.3,348
C11R2,8,11.2.B.4.1,454
C11R2,9,11.2.B.4.2,455
C11R2,11,11.2.B.7,458
C11R2,12,11.2.B.8.2,460
C11R5,1,11.5.A.1,352
C11R5,2,11.5.A.1.2,353
C11R5,3,11.5.B.1,355
C11R5,4,11.5.B.2,462
C11R5,5,11.5.B.3,356
C1R4,2,1.4.A.3,269
C1R4,4,1.4.A.5,435
C1R4,5,1.4.B.4,270
C1R6,1,1.6.A.1,272
C1R6,2,1.6.A.2,273
C2R6,1,2.6.A.1,276
C2R6,3,2.6.A.3,278
C2R8,3,2.8.A.3,290
C2R8,4,2.8.B.2,444
C4R1,1,4.1.A.1,294
C4R1,3,4.1.B.4,302
C7R1,1,7.1.A.1,303
C7R1,3,7.1.A.3,305
C7R1,4,7.1.B.2,308
C8R4,1,8.4.A.1,316
C8R4,3,8.4.B.2,446
