exp_id,Transfer,Type,ID,Well,Abundance
pair-random_pairs-8,0,consumer,223,W0,500000.0
pair-random_pairs-8,0,consumer,1489,W0,500000.0
pair-random_pairs-8,0,consumer,167,W1,500000.0
pair-random_pairs-8,0,consumer,1583,W1,500000.0
pair-random_pairs-8,0,consumer,320,W2,500000.0
pair-random_pairs-8,0,consumer,1239,W2,500000.0
pair-random_pairs-8,0,consumer,1505,W3,500000.0
pair-random_pairs-8,0,consumer,2050,W3,500000.0
pair-random_pairs-8,0,consumer,445,W4,500000.0
pair-random_pairs-8,0,consumer,477,W4,500000.0
pair-random_pairs-8,0,consumer,323,W5,500000.0
pair-random_pairs-8,0,consumer,1457,W5,500000.0
pair-random_pairs-8,0,consumer,37,W6,500000.0
pair-random_pairs-8,0,consumer,859,W6,500000.0
pair-random_pairs-8,0,consumer,1350,W7,500000.0
pair-random_pairs-8,0,consumer,2098,W7,500000.0
pair-random_pairs-8,0,consumer,95,W8,500000.0
pair-random_pairs-8,0,consumer,589,W8,500000.0
pair-random_pairs-8,0,consumer,1559,W9,500000.0
pair-random_pairs-8,0,consumer,2064,W9,500000.0
pair-random_pairs-8,0,consumer,747,W10,500000.0
pair-random_pairs-8,0,consumer,811,W10,500000.0
pair-random_pairs-8,0,consumer,681,W11,500000.0
pair-random_pairs-8,0,consumer,1662,W11,500000.0
pair-random_pairs-8,0,consumer,2093,W12,500000.0
pair-random_pairs-8,0,consumer,2097,W12,500000.0
pair-random_pairs-8,0,consumer,521,W13,500000.0
pair-random_pairs-8,0,consumer,1597,W13,500000.0
pair-random_pairs-8,0,consumer,264,W14,500000.0
pair-random_pairs-8,0,consumer,790,W14,500000.0
pair-random_pairs-8,0,consumer,1688,W15,500000.0
pair-random_pairs-8,0,consumer,1722,W15,500000.0
pair-random_pairs-8,0,consumer,1335,W16,500000.0
pair-random_pairs-8,0,consumer,1875,W16,500000.0
pair-random_pairs-8,0,consumer,750,W17,500000.0
pair-random_pairs-8,0,consumer,1712,W17,500000.0
pair-random_pairs-8,0,consumer,54,W18,500000.0
pair-random_pairs-8,0,consumer,1063,W18,500000.0
pair-random_pairs-8,0,consumer,220,W19,500000.0
pair-random_pairs-8,0,consumer,698,W19,500000.0
pair-random_pairs-8,0,consumer,469,W20,500000.0
pair-random_pairs-8,0,consumer,559,W20,500000.0
pair-random_pairs-8,0,consumer,593,W21,500000.0
pair-random_pairs-8,0,consumer,876,W21,500000.0
pair-random_pairs-8,0,consumer,228,W22,500000.0
pair-random_pairs-8,0,consumer,1703,W22,500000.0
pair-random_pairs-8,0,consumer,111,W23,500000.0
pair-random_pairs-8,0,consumer,681,W23,500000.0
pair-random_pairs-8,0,consumer,1798,W24,500000.0
pair-random_pairs-8,0,consumer,1970,W24,500000.0
pair-random_pairs-8,0,consumer,118,W25,500000.0
pair-random_pairs-8,0,consumer,1935,W25,500000.0
pair-random_pairs-8,0,consumer,482,W26,500000.0
pair-random_pairs-8,0,consumer,1785,W26,500000.0
pair-random_pairs-8,0,consumer,839,W27,500000.0
pair-random_pairs-8,0,consumer,1537,W27,500000.0
pair-random_pairs-8,0,consumer,105,W28,500000.0
pair-random_pairs-8,0,consumer,1065,W28,500000.0
pair-random_pairs-8,0,consumer,882,W29,500000.0
pair-random_pairs-8,0,consumer,988,W29,500000.0
pair-random_pairs-8,0,consumer,647,W30,500000.0
pair-random_pairs-8,0,consumer,792,W30,500000.0
pair-random_pairs-8,0,consumer,1667,W31,500000.0
pair-random_pairs-8,0,consumer,1809,W31,500000.0
pair-random_pairs-8,0,consumer,3,W32,500000.0
pair-random_pairs-8,0,consumer,192,W32,500000.0
pair-random_pairs-8,0,consumer,749,W33,500000.0
pair-random_pairs-8,0,consumer,1114,W33,500000.0
pair-random_pairs-8,0,consumer,727,W34,500000.0
pair-random_pairs-8,0,consumer,2040,W34,500000.0
pair-random_pairs-8,0,consumer,482,W35,500000.0
pair-random_pairs-8,0,consumer,1354,W35,500000.0
pair-random_pairs-8,0,consumer,1171,W36,500000.0
pair-random_pairs-8,0,consumer,1683,W36,500000.0
pair-random_pairs-8,0,consumer,468,W37,500000.0
pair-random_pairs-8,0,consumer,736,W37,500000.0
pair-random_pairs-8,0,consumer,138,W38,500000.0
pair-random_pairs-8,0,consumer,305,W38,500000.0
pair-random_pairs-8,0,consumer,619,W39,500000.0
pair-random_pairs-8,0,consumer,996,W39,500000.0
pair-random_pairs-8,0,consumer,487,W40,500000.0
pair-random_pairs-8,0,consumer,1230,W40,500000.0
pair-random_pairs-8,0,consumer,650,W41,500000.0
