AlignmentType,ExpID1,ExpID2,ConsensusLength,BasePairGap,BasePairMismatch,AlignmentScore
global,JVN5,JVN28,767,222,90,-1031.23974609375
global,JVN5,JVN30,906,44,155,-74.0601348876953
global,JVN5,JVN31,562,0,9,-201.184692382813
global,JVN5,JVN33,658,0,10,504.862060546875
global,JVN5,JVN34,570,129,77,-1390.84509277344
global,JVN5,JVN35,873,11,158,587.125610351563
global,JVN5,JVN36,570,130,78,-1385.44482421875
global,JVN5,JVN37,873,86,147,147.244659423828
global,JVN5,JVN38,246,10,68,-2400.849609375
global,JVN5,JVN39,659,0,10,503.165771484375
global,JVN5,JVN40,813,155,114,-561.8876953125
global,JVN5,JVN41,777,127,99,-389.881286621094
global,JVN5,JVN42,885,42,146,398.831878662109
global,JVN5,JVN44,661,2,19,-151.765380859375
global,JVN5,JVN46,1015,153,157,157.57470703125
global,JVN6,JVN7,523,0,10,409.645904541016
global,JVN6,JVN8,522,0,4,958.950073242188
global,JVN6,JVN9,522,0,0,1002.47424316406
global,JVN6,JVN10,520,0,5,1231.59680175781
global,JVN6,JVN11,775,252,2,132.226821899414
global,JVN6,JVN12,523,0,12,690.981262207031
global,JVN6,JVN13,522,0,2,974.712158203125
global,JVN6,JVN14,774,251,61,-1301.22216796875
global,JVN6,JVN15,523,0,2,960.693908691406
global,JVN6,JVN16,523,0,4,313.637481689453
global,JVN6,JVN17,730,207,4,-60.0794677734375
global,JVN6,JVN18,540,17,8,1034.45336914063
global,JVN6,JVN19,716,193,2,212.693908691406
global,JVN6,JVN20,523,0,63,-236.504928588867
global,JVN6,JVN21,697,174,11,541.598754882813
global,JVN6,JVN22,697,174,2,452.23095703125
global,JVN6,JVN23,539,16,62,-373.517791748047
global,JVN6,JVN24,523,0,2,-39.3059997558594
global,JVN6,JVN25,523,0,8,509.445190429688
global,JVN6,JVN26,720,197,12,-562.116027832031
global,JVN6,JVN27,523,0,8,417.407989501953
global,JVN6,JVN28,523,0,2,912.694030761719
global,JVN6,JVN30,768,245,62,-1345.51806640625
global,JVN6,JVN31,544,29,82,74.3589401245117
global,JVN6,JVN33,681,166,82,-245.852416992188
global,JVN6,JVN34,437,1,2,589.807189941406
global,JVN6,JVN35,523,0,65,-794.516052246094
global,JVN6,JVN36,437,0,2,614.110717773438
global,JVN6,JVN37,660,137,64,-477.123107910156
global,JVN6,JVN38,241,0,82,-1070.74267578125
global,JVN6,JVN39,683,168,83,-256.148406982422
global,JVN6,JVN40,701,178,2,436.230743408203
global,JVN6,JVN41,523,0,5,591.344482421875
global,JVN6,JVN42,730,207,3,-192.064300537109
global,JVN6,JVN44,544,29,85,-769.287109375
global,JVN6,JVN46,764,241,64,-1173.12231445313
global,JVN7,JVN8,531,4,8,449.335021972656
