MixtureName,User,Treatment,Isolate1Freq,Isolate2Freq,Isolate1,Isolate2,Isolate1FreqPredicted,Isolate2FreqPredicted,Isolate1Colony,Isolate2Colony,Dilution,Isolate1ColonyFreq,Isolate2ColonyFreq
CYC_control_50_50_AB,CYC,control,0.5,0.5,A,B,0.487381560663751,0.512618439336249,5,6,-5,0.454545454545455,0.545454545454545
CYC_control_50_50_AC,CYC,control,0.5,0.5,A,C,0.120770706006383,0.879229293993617,6,19,-5,0.24,0.76
CYC_control_50_50_AD,CYC,control,0.5,0.5,A,D,0.16503056282042,0.83496943717958,5,24,-5,0.172413793103448,0.827586206896552
CYC_control_50_50_BC,CYC,control,0.5,0.5,B,C,0.237054780393811,0.762945219606189,7,51,-5,0.120689655172414,0.879310344827586
CYC_control_50_50_BD,CYC,control,0.5,0.5,B,D,0.33387119313628,0.66612880686372,6,32,-5,0.157894736842105,0.842105263157895
CYC_control_50_50_CD,CYC,control,0.5,0.5,C,D,0.579240655112807,0.420759344887193,300,18,-5,0.943396226415094,0.0566037735849057
CYC_control_95_5_AB,CYC,control,0.95,0.05,A,B,0.786594340986067,0.213405659013933,9,2,-5,0.818181818181818,0.181818181818182
CYC_control_95_5_AC,CYC,control,0.95,0.05,A,C,0.459641730389635,0.540358269610365,16,5,-5,0.761904761904762,0.238095238095238
CYC_control_95_5_AD,CYC,control,0.95,0.05,A,D,0.585893187219151,0.414106812780849,14,5,-5,0.736842105263158,0.263157894736842
CYC_control_95_5_BC,CYC,control,0.95,0.05,B,C,0.618351593700652,0.381648406299348,11,5,-5,0.6875,0.3125
CYC_control_95_5_BD,CYC,control,0.95,0.05,B,D,0.715950009853027,0.284049990146973,21,5,-5,0.807692307692308,0.192307692307692
CYC_control_95_5_CD,CYC,control,0.95,0.05,C,D,0.797655541163241,0.202344458836759,34,1,-5,0.971428571428571,0.0285714285714286
