Community,Isolate1,Isolate2,PairTreeDistance
C1R2,1,2,0.36841401131632
C1R2,1,3,0.193335928000934
C1R2,1,4,0.366683926399317
C1R2,2,3,0.361175699190339
C1R2,2,4,0.128756233578758
C1R2,3,4,0.359445614273337
C1R4,1,2,0.337031431542294
C1R4,1,3,0.138971549324746
C1R4,1,4,0.361601990640807
C1R4,1,5,0.368797576886633
C1R4,2,3,0.343119325239029
C1R4,2,4,0.058983204419659
C1R4,2,5,0.0661787906654849
C1R4,3,4,0.367689884337542
C1R4,3,5,0.374885470583368
C1R4,4,5,0.0172041624862079
C1R6,1,2,0.354525748916901
C1R6,1,3,0.0917643053349607
C1R6,1,4,0.366802966789219
C1R6,1,5,0.373146512863552
C1R6,2,3,0.353636669882602
C1R6,2,4,0.174473825037847
C1R6,2,5,0.0798182729867141
C1R6,3,4,0.365913887754919
C1R6,3,5,0.372257433829253
C1R6,4,5,0.193094588984498
C1R7,1,2,0.347346893173627
C1R7,1,3,0.121338040971487
C1R7,1,4,0.172653267401619
C1R7,1,5,0.0646133620130831
C1R7,1,6,0.097516008184034
C1R7,1,7,0.135285951583133
C1R7,2,3,0.371973485029469
C1R7,2,4,0.360268698222228
C1R7,2,5,0.353227890959159
C1R7,2,6,0.386130537130109
C1R7,2,7,0.385921395641115
C1R7,3,4,0.197279859257461
C1R7,3,5,0.127219038757018
C1R7,3,6,0.160121684927969
C1R7,3,7,0.124292061411646
C1R7,4,5,0.17853426518715
C1R7,4,6,0.211436911358101
C1R7,4,7,0.211227769869107
C1R7,5,6,0.0908537101953075
C1R7,5,7,0.141166949368665
C1R7,6,7,0.174069595539615
C2R6,1,2,0.12930853576462
C2R6,1,3,0.0549528974871819
C2R6,1,4,
C2R6,2,3,0.155451575401518
C2R6,2,4,
C2R6,3,4,
C2R8,1,2,0.146730523387995
C2R8,1,3,0.387046987737425
C2R8,1,4,0.385423651237588
C2R8,2,3,0.359936829595967
C2R8,2,4,0.358313493096129
C2R8,3,4,-0.000735556935881188
C4R1,1,2,0.350323502978048
C4R1,1,3,0.387101875952127
C4R1,2,3,0.404566566015871
C7R1,1,2,0.355159112853263
C7R1,1,3,-3.57638086707453e-05
C7R1,1,4,0.000157166882825412
C7R1,2,3,0.355194876661934
C7R1,2,4,0.350030780891079
C7R1,3,4,0.000192930691496157
C8R4,1,2,0.357118073824461
C8R4,1,3,0
C8R4,2,3,0.356782864441426
C10R2,1,2,0.356704762954573
C10R2,1,3,
C10R2,2,3,
C11R1,1,2,0.389960358195591
C11R1,1,3,0.365535536097448
C11R1,1,4,0.366340814021344
C11R1,1,5,0.346448630776667
C11R1,1,6,0.396663893512778
C11R1,1,7,0.404687625314336
C11R1,1,8,0.385620830878883
C11R1,1,9,0.397011233945982
C11R1,2,3,0.412230988392081
C11R1,2,4,0.413036266315976
C11R1,2,5,0.393144083071299
C11R1,2,6,0.443359345807411
C11R1,2,7,0.451383077608968
C11R1,2,8,0
C11R1,2,9,0.369654597334449
C11R1,3,4,0.366309811802643
C11R1,3,5,0.346417628557967
C11R1,3,6,0.396632891294078
C11R1,3,7,0.404656623095636
C11R1,3,8,0.407891461075372
C11R1,3,9,0.419281864142471
C11R1,4,5,0.0936663674306798
C11R1,4,6,0.0821428892953896
C11R1,4,7,0.0901666210969474
C11R1,4,8,0.408696738999268
C11R1,4,9,0.420087142066367
C11R1,5,6,0.123989446922114
C11R1,5,7,0.132013178723672
C11R1,5,8,0.388804555754591
C11R1,5,9,0.40019495882169
C11R1,6,7,0.00277107311805022
C11R1,6,8,0.439019818490702
C11R1,6,9,0.450410221557801
C11R1,7,8,0.44704355029226
C11R1,7,9,0.458433953359359
C11R1,8,9,0.36531507001774
C11R2,1,2,0.38976560901045
C11R2,1,3,0.27950963078777
C11R2,1,4,0.297350756326015
