Sample,Mixture,Time,Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Isolate1FreqPredicted,Isolate2FreqPredicted,RSquare
60,RanAss1_95_5_4_8,T0,RanAss1,4,8,0.95,0.05,0.96319352376829,0.0368064762317099,0.920600413856033
61,RanAss1_95_5_5_8,T0,RanAss1,5,8,0.95,0.05,,,
62,RanAss1_95_5_6_8,T0,RanAss1,6,8,0.95,0.05,,,
63,RanAss1_95_5_7_8,T0,RanAss1,7,8,0.95,0.05,0.133914082116856,0.866085917883144,0.949257043710426
98,AcrAss1_95_5_2_1,T0,AcrAss1,1,2,0.05,0.95,0.0299898681486751,0.970010131851325,0.947460410933598
99,AcrAss1_95_5_3_1,T0,AcrAss1,1,3,0.05,0.95,0.00137704992034989,0.99862295007965,0.968288101300947
100,AcrAss1_95_5_4_1,T0,AcrAss1,1,4,0.05,0.95,0.0259227086679569,0.974077291332043,0.952487921599164
101,AcrAss1_95_5_5_1,T0,AcrAss1,1,5,0.05,0.95,0.144044953440206,0.855955046559794,0.752256040515645
102,AcrAss1_95_5_6_1,T0,AcrAss1,1,6,0.05,0.95,0.902509516322695,0.0974904836773047,0.895254118256109
103,AcrAss1_95_5_7_1,T0,AcrAss1,1,7,0.05,0.95,0.0317792371516713,0.968220762848329,0.922854853048399
104,AcrAss1_95_5_8_1,T0,AcrAss1,1,8,0.05,0.95,0.028253866706794,0.971746133293206,0.944677101124724
105,AcrAss1_95_5_1_2,T0,AcrAss1,1,2,0.95,0.05,0.839882420990537,0.160117579009463,0.934289319937847
107,AcrAss1_95_5_3_2,T0,AcrAss1,2,3,0.05,0.95,0.0319045981503539,0.968095401849646,0.958646112007441
108,AcrAss1_95_5_4_2,T0,AcrAss1,2,4,0.05,0.95,0.258760053920073,0.741239946079927,0.94589913542418
109,AcrAss1_95_5_5_2,T0,AcrAss1,2,5,0.05,0.95,0.0952643984696945,0.904735601530305,0.726029760499248
110,AcrAss1_95_5_6_2,T0,AcrAss1,2,6,0.05,0.95,0.438446556944783,0.561553443055217,0.749647008385105
111,AcrAss1_95_5_7_2,T0,AcrAss1,2,7,0.05,0.95,0.206410937067811,0.793589062932189,0.767309689077589
112,AcrAss1_95_5_8_2,T0,AcrAss1,2,8,0.05,0.95,0.160868639847939,0.839131360152062,0.731979384198248
113,AcrAss1_95_5_1_3,T0,AcrAss1,1,3,0.95,0.05,0.411289987062924,0.588710012937076,0.835698682200543
114,AcrAss1_95_5_2_3,T0,AcrAss1,2,3,0.95,0.05,0.81698685608497,0.18301314391503,0.949839771240656
116,AcrAss1_95_5_4_3,T0,AcrAss1,3,4,0.05,0.95,0.400069184119363,0.599930815880638,0.808364447164308
117,AcrAss1_95_5_5_3,T0,AcrAss1,3,5,0.05,0.95,0.111464611259381,0.888535388740619,0.946347757410101
118,AcrAss1_95_5_6_3,T0,AcrAss1,3,6,0.05,0.95,0.654499941692261,0.345500058307739,0.868694514488166
119,AcrAss1_95_5_7_3,T0,AcrAss1,3,7,0.05,0.95,0.256527842012866,0.743472157987134,0.771489854161797
120,AcrAss1_95_5_8_3,T0,AcrAss1,3,8,0.05,0.95,0.845809600396337,0.154190399603663,0.916312394966172
121,AcrAss1_95_5_1_4,T0,AcrAss1,1,4,0.95,0.05,0.74790142756383,0.25209857243617,0.928261134261725
122,AcrAss1_95_5_2_4,T0,AcrAss1,2,4,0.95,0.05,0.854864599370978,0.145135400629022,0.740047078887149
123,AcrAss1_95_5_3_4,T0,AcrAss1,3,4,0.95,0.05,0.954365965237784,0.0456340347622165,0.95272597501514
125,AcrAss1_95_5_5_4,T0,AcrAss1,4,5,0.05,0.95,0.0374451435405568,0.962554856459443,0.953760406619723
126,AcrAss1_95_5_6_4,T0,AcrAss1,4,6,0.05,0.95,0.363355412270046,0.636644587729954,0.862130609906185
127,AcrAss1_95_5_7_4,T0,AcrAss1,4,7,0.05,0.95,0.127080742399458,0.872919257600542,0.753294705049851
128,AcrAss1_95_5_8_4,T0,AcrAss1,4,8,0.05,0.95,0.157551780920739,0.842448219079261,0.725395191298576
129,AcrAss1_95_5_1_5,T0,AcrAss1,1,5,0.95,0.05,0.787373762965997,0.212626237034004,0.93607895974224
130,AcrAss1_95_5_2_5,T0,AcrAss1,2,5,0.95,0.05,0.882794182596645,0.117205817403355,0.738523924307546
