MixtureName,Community,Isolate1Freq,Isolate2Freq,Isolate1,Isolate2,Isolate1FreqPredicted,Isolate2FreqPredicted,RSquare
C11R2_5_95_2_8,C11R2,0.05,0.95,2,8,0.388653343399839,0.611346656600161,0.989118916978533
C11R2_50_50_2_8,C11R2,0.5,0.5,2,8,0.100969949609196,0.899030050390804,0.984566160609828
C11R2_95_5_2_8,C11R2,0.95,0.05,2,8,0.0624891447842676,0.937510855215732,0.982575015849692
C11R2_5_95_3_7,C11R2,0.05,0.95,3,7,0.771440910128348,0.228559089871652,0.804594753141653
C11R2_50_50_3_7,C11R2,0.5,0.5,3,7,1,0,0.981187259838986
C11R2_95_5_3_7,C11R2,0.95,0.05,3,7,0.717413237053471,0.282586762946529,0.990874142866841
C11R2_5_95_3_12,C11R2,0.05,0.95,3,12,0.423956585848346,0.576043414151654,0.992610362180453
C11R2_50_50_3_12,C11R2,0.5,0.5,3,12,0.947716325346024,0.0522836746539755,0.982818989254911
C11R2_95_5_3_12,C11R2,0.95,0.05,3,12,0.55784593934419,0.44215406065581,0.992149076348694
C11R2_5_95_6_11,C11R2,0.05,0.95,6,11,0.748993881277801,0.251006118722199,0.91396773061735
C11R2_50_50_6_11,C11R2,0.5,0.5,6,11,0.130779680830115,0.869220319169885,0.98652913921664
C11R2_95_5_6_11,C11R2,0.95,0.05,6,11,0,1,0.978088351594258
C11R2_5_95_7_12,C11R2,0.05,0.95,7,12,0,1,0.985447847891998
C11R2_50_50_7_12,C11R2,0.5,0.5,7,12,0.947143803736859,0.0528561962631405,0.985204246171936
C11R2_95_5_7_12,C11R2,0.95,0.05,7,12,0.361522512768806,0.638477487231194,0.99044320267476
C11R5_5_95_1_3,C11R5,0.05,0.95,1,3,0,1,0.971692066898281
C11R5_50_50_1_3,C11R5,0.5,0.5,1,3,0.45952315883425,0.54047684116575,0.987674782380038
C11R5_95_5_1_3,C11R5,0.95,0.05,1,3,0.364948006014225,0.635051993985775,0.268104874743182
C11R5_5_95_2_4,C11R5,0.05,0.95,2,4,0.0311970103505779,0.968802989649422,0.979941985964446
C11R5_50_50_2_4,C11R5,0.5,0.5,2,4,0,1,0.978711053896104
C11R5_95_5_2_4,C11R5,0.95,0.05,2,4,0,1,0.977824125575326
C1R4_5_95_2_4,C1R4,0.05,0.95,2,4,0.586700113710212,0.413299886289788,0.971024318600769
C1R4_50_50_2_4,C1R4,0.5,0.5,2,4,0.606261221913768,0.393738778086232,0.969801984107489
C1R4_95_5_2_4,C1R4,0.95,0.05,2,4,0.150108649971799,0.849891350028201,0.958985534482491
C1R4_5_95_2_5,C1R4,0.05,0.95,2,5,0.0613956595787282,0.938604340421272,0.946126601280225
C1R4_50_50_2_5,C1R4,0.5,0.5,2,5,0.620542409187242,0.379457590812758,0.97525381767433
C1R4_95_5_2_5,C1R4,0.95,0.05,2,5,0.140972486469392,0.859027513530608,0.959386248190547
C1R4_5_95_4_5,C1R4,0.05,0.95,4,5,0.916992313910444,0.0830076860895565,0.985405809811664
C1R4_50_50_4_5,C1R4,0.5,0.5,4,5,0.912570031138011,0.0874299688619887,0.979585328002698
C1R4_95_5_4_5,C1R4,0.95,0.05,4,5,0.590874414277007,0.409125585722993,0.989382207675068
C1R6_5_95_1_2,C1R6,0.05,0.95,1,2,0.0381255789043184,0.961874421095682,0.983771207973425
C1R6_50_50_1_2,C1R6,0.5,0.5,1,2,0.0404783009983773,0.959521699001623,0.982129789281434
C1R6_95_5_1_2,C1R6,0.95,0.05,1,2,0,1,0.980813783168142
C1R6_5_95_2_5,C1R6,0.05,0.95,2,5,0.988605996505043,0.0113940034949565,0.978831132747901
C1R6_50_50_2_5,C1R6,0.5,0.5,2,5,0.750729312902942,0.249270687097058,0.981799637009289
C1R6_95_5_2_5,C1R6,0.95,0.05,2,5,1,0,0.983756941974406
C4R1_5_95_1_3,C4R1,0.05,0.95,1,3,0.589506606753843,0.410493393246157,0.986556262377148
C4R1_50_50_1_3,C4R1,0.5,0.5,1,3,0.875973205401708,0.124026794598292,0.982091821421378
C4R1_95_5_1_3,C4R1,0.95,0.05,1,3,0.563367855261621,0.436632144738379,0.98834410213858
C7R1_5_95_3_4,C7R1,0.05,0.95,3,4,0.845140177306764,0.154859822693236,0.751405192781245
C7R1_50_50_3_4,C7R1,0.5,0.5,3,4,0.819483970426528,0.180516029573472,0.753859292445779
C7R1_95_5_3_4,C7R1,0.95,0.05,3,4,0.802928956087544,0.197071043912456,0.805821320896049
