Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Isolate1FreqPredicted,Isolate2FreqPredicted
RanAss1,1,2,0.05,0.95,0.0801828565653811,0.919817143434619
RanAss1,1,2,0.95,0.05,0.0478831740090172,0.952116825990983
RanAss1,1,3,0.05,0.95,0.0780528504878444,0.921947149512156
RanAss1,1,3,0.95,0.05,0.0304820105582401,0.96951798944176
RanAss1,1,4,0.05,0.95,0.463119603384482,0.536880396615518
RanAss1,1,4,0.95,0.05,0.473973984494958,0.526026015505042
RanAss1,1,6,0.05,0.95,0.330833386775748,0.669166613224252
RanAss1,1,6,0.95,0.05,0.0711272399998554,0.928872760000145
RanAss1,1,7,0.05,0.95,0.72763218072499,0.27236781927501
RanAss1,1,7,0.95,0.05,0.734616101846512,0.265383898153488
RanAss1,1,8,0.05,0.95,0.930088166191056,0.0699118338089437
RanAss1,1,8,0.95,0.05,0.881820987276635,0.118179012723365
RanAss1,2,3,0.05,0.95,0.0959531116681094,0.904046888331891
RanAss1,2,3,0.95,0.05,0.203911168543315,0.796088831456686
RanAss1,2,4,0.05,0.95,0.882987157194127,0.117012842805873
RanAss1,2,4,0.95,0.05,0.98996563490799,0.0100343650920102
RanAss1,2,6,0.05,0.95,0.0312651956154696,0.96873480438453
RanAss1,2,6,0.95,0.05,0.832662652619487,0.167337347380513
RanAss1,2,7,0.05,0.95,0.969219742844035,0.0307802571559651
RanAss1,2,7,0.95,0.05,0.900805335504845,0.0991946644951551
RanAss1,2,8,0.05,0.95,0.973381358228916,0.0266186417710845
RanAss1,2,8,0.95,0.05,0.965665303196831,0.0343346968031686
RanAss1,3,4,0.05,0.95,0.895494341725195,0.104505658274804
RanAss1,3,4,0.95,0.05,0.948761744457656,0.0512382555423438
RanAss1,3,6,0.05,0.95,0.123697643312802,0.876302356687198
RanAss1,3,6,0.95,0.05,0.936848059615851,0.0631519403841489
RanAss1,3,7,0.05,0.95,0.938991173681823,0.0610088263181773
RanAss1,3,7,0.95,0.05,0.968887019409068,0.031112980590932
RanAss1,3,8,0.05,0.95,0.990970201189241,0.00902979881075909
RanAss1,3,8,0.95,0.05,0.988464796101682,0.0115352038983178
RanAss1,4,6,0.05,0.95,0.098235585238265,0.901764414761735
RanAss1,4,6,0.95,0.05,0.072499794562623,0.927500205437377
RanAss1,4,7,0.05,0.95,0.771268510477626,0.228731489522374
RanAss1,4,7,0.95,0.05,0.756063448059719,0.243936551940281
RanAss1,4,8,0.05,0.95,0.815518725564861,0.184481274435139
RanAss1,4,8,0.95,0.05,0.941774524206549,0.058225475793451
RanAss1,6,7,0.05,0.95,0.982532878381646,0.0174671216183539
RanAss1,6,7,0.95,0.05,0.988347477179169,0.0116525228208311
RanAss1,6,8,0.05,0.95,0.965378067596768,0.0346219324032321
RanAss1,6,8,0.95,0.05,0.985806250347636,0.0141937496523637
RanAss1,7,8,0.05,0.95,0.590558457882248,0.409441542117752
RanAss1,7,8,0.95,0.05,0.76376696506705,0.23623303493295
