FromRare,FromMedium,FromAbundant,InteractionType,InteractionTypeFiner,FreqFunc
1,1,1,exclusion,competitive exclusion,1_1_1
1,1,-1,coexistence,stable coexistence,1_1_-1
1,1,0,coexistence,stable coexistence,1_1_0
1,-1,1,NA,NA,1_-1_1
1,-1,-1,coexistence,stable coexistence,1_-1_-1
1,-1,0,NA,NA,1_-1_0
1,0,1,NA,NA,1_0_1
1,0,-1,coexistence,stable coexistence,1_0_-1
1,0,0,coexistence,stable coexistence,1_0_0
-1,1,1,exclusion,mutual exclusion,-1_1_1
-1,1,-1,coexistence,frequency-dependent coexistence,-1_1_-1
-1,1,0,coexistence,frequency-dependent coexistence,-1_1_0
-1,-1,1,exclusion,mutual exclusion,-1_-1_1
-1,-1,-1,exclusion,competitive exclusion,-1_-1_-1
-1,-1,0,coexistence,frequency-dependent coexistence,-1_-1_0
-1,0,1,NA,NA,-1_0_1
-1,0,-1,coexistence,frequency-dependent coexistence,-1_0_-1
-1,0,0,NA,NA,-1_0_0
0,1,1,NA,NA,0_1_1
0,1,-1,coexistence,frequency-dependent coexistence,0_1_-1
0,1,0,NA,NA,0_1_0
0,-1,1,NA,NA,0_-1_1
0,-1,-1,coexistence,stable coexistence,0_-1_-1
0,-1,0,NA,NA,0_-1_0
0,0,1,NA,NA,0_0_1
0,0,-1,coexistence,stable coexistence,0_0_-1
0,0,0,neutrality,neutrality,0_0_0
1,NA,1,exclusion,competitive exclusion,1_NA_1
1,NA,-1,coexistence,stable coexistence,1_NA_-1
-1,NA,1,exclusion,mutual exclusion,-1_NA_1
-1,NA,-1,exclusion,competitive exclusion,-1_NA_-1
