Community,CommunitySize,Motif,Count,TotalMotifCount,RelativeMotifCount
C1R2,4,1,0,4,0
C1R2,4,2,0,4,0
C1R2,4,3,2,4,0.5
C1R2,4,4,0,4,0
C1R2,4,5,2,4,0.5
C1R2,4,6,0,4,0
C1R2,4,7,0,4,0
C1R4,5,1,0,10,0
C1R4,5,2,2,10,0.2
C1R4,5,3,3,10,0.3
C1R4,5,4,0,10,0
C1R4,5,5,4,10,0.4
C1R4,5,6,1,10,0.1
C1R4,5,7,0,10,0
C1R6,5,1,0,10,0
C1R6,5,2,2,10,0.2
C1R6,5,3,2,10,0.2
C1R6,5,4,2,10,0.2
C1R6,5,5,3,10,0.3
C1R6,5,6,1,10,0.1
C1R6,5,7,0,10,0
C1R7,7,1,0,35,0
C1R7,7,2,17,35,0.485714285714286
C1R7,7,3,9,35,0.257142857142857
C1R7,7,4,0,35,0
C1R7,7,5,8,35,0.228571428571429
C1R7,7,6,0,35,0
C1R7,7,7,1,35,0.0285714285714286
C2R6,4,1,0,4,0
C2R6,4,2,0,4,0
C2R6,4,3,1,4,0.25
C2R6,4,4,0,4,0
C2R6,4,5,1,4,0.25
C2R6,4,6,2,4,0.5
C2R6,4,7,0,4,0
C2R8,4,1,0,4,0
C2R8,4,2,1,4,0.25
C2R8,4,3,1,4,0.25
C2R8,4,4,1,4,0.25
C2R8,4,5,0,4,0
C2R8,4,6,1,4,0.25
C2R8,4,7,0,4,0
C4R1,3,1,0,1,0
C4R1,3,2,0,1,0
C4R1,3,3,0,1,0
C4R1,3,4,1,1,1
C4R1,3,5,0,1,0
C4R1,3,6,0,1,0
C4R1,3,7,0,1,0
C7R1,4,1,0,4,0
C7R1,4,2,2,4,0.5
C7R1,4,3,1,4,0.25
C7R1,4,4,0,4,0
C7R1,4,5,1,4,0.25
C7R1,4,6,0,4,0
C7R1,4,7,0,4,0
C8R4,3,1,0,1,0
C8R4,3,2,0,1,0
C8R4,3,3,0,1,0
C8R4,3,4,0,1,0
C8R4,3,5,0,1,0
C8R4,3,6,0,1,0
C8R4,3,7,1,1,1
C10R2,3,1,0,1,0
C10R2,3,2,0,1,0
C10R2,3,3,0,1,0
C10R2,3,4,1,1,1
C10R2,3,5,0,1,0
C10R2,3,6,0,1,0
C10R2,3,7,0,1,0
C11R1,9,1,0,84,0
C11R1,9,2,12,84,0.142857142857143
C11R1,9,3,23,84,0.273809523809524
C11R1,9,4,1,84,0.0119047619047619
C11R1,9,5,5,84,0.0595238095238095
C11R1,9,6,25,84,0.297619047619048
C11R1,9,7,18,84,0.214285714285714
C11R2,12,1,0,220,0
C11R2,12,2,47,220,0.213636363636364
C11R2,12,3,69,220,0.313636363636364
C11R2,12,4,0,220,0
C11R2,12,5,38,220,0.172727272727273
C11R2,12,6,45,220,0.204545454545455
C11R2,12,7,21,220,0.0954545454545455
C11R5,5,1,0,10,0
C11R5,5,2,3,10,0.3
C11R5,5,3,6,10,0.6
C11R5,5,4,0,10,0
C11R5,5,5,0,10,0
C11R5,5,6,0,10,0
C11R5,5,7,1,10,0.1
