Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Isolate1FreqPredicted,Isolate2FreqPredicted
RanAss1,1,2,0.05,0.95,0.141075922199969,0.858924077800031
RanAss1,1,2,0.95,0.05,0.102944323190162,0.897055676809838
RanAss1,1,3,0.95,0.05,0.0505273150881942,0.949472684911806
RanAss1,1,4,0.95,0.05,0.431633653062455,0.568366346937545
RanAss1,1,7,0.05,0.95,0.671562060801426,0.328437939198575
RanAss1,1,7,0.95,0.05,0.710460323749433,0.289539676250567
RanAss1,1,8,0.05,0.95,0.92295198730345,0.0770480126965496
RanAss1,1,8,0.95,0.05,0.868625368553003,0.131374631446998
RanAss1,2,3,0.05,0.95,0.111982523411815,0.888017476588185
RanAss1,2,3,0.95,0.05,0.775211790605088,0.224788209394912
RanAss1,2,4,0.95,0.05,0.977554062220995,0.0224459377790054
RanAss1,2,7,0.05,0.95,0.958842162943743,0.0411578370562572
RanAss1,2,7,0.95,0.05,0.962282907045306,0.0377170929546944
RanAss1,2,8,0.05,0.95,0.929797574078605,0.0702024259213951
RanAss1,2,8,0.95,0.05,0.961655795469314,0.0383442045306861
RanAss1,3,4,0.05,0.95,0.951274459940487,0.048725540059513
RanAss1,3,7,0.05,0.95,0.956901202495869,0.0430987975041307
RanAss1,3,7,0.95,0.05,0.967931214540302,0.0320687854596976
RanAss1,3,8,0.05,0.95,0.929913315717313,0.0700866842826873
RanAss1,3,8,0.95,0.05,0.967190993460662,0.0328090065393376
RanAss1,4,7,0.05,0.95,0.77869262541739,0.22130737458261
RanAss1,4,7,0.95,0.05,0.757838348853836,0.242161651146164
RanAss1,4,8,0.05,0.95,0.849157986008375,0.150842013991625
RanAss1,4,8,0.95,0.05,0.934766231554393,0.0652337684456072
RanAss1,7,8,0.05,0.95,0.264764795789107,0.735235204210893
RanAss1,7,8,0.95,0.05,0.688124916648543,0.311875083351457
