Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Time,Isolate1CFUFreq
C1R7,1,2,95,5,Isolate1CFUFreqT0,0.864809540761837
C1R7,1,3,5,95,Isolate1CFUFreqT0,0.0153906097798558
C1R7,1,3,50,50,Isolate1CFUFreqT0,0.228985507246377
C1R7,1,3,95,5,Isolate1CFUFreqT0,0.849462365591398
C1R7,1,4,5,95,Isolate1CFUFreqT0,0.0642091088347041
C1R7,1,4,50,50,Isolate1CFUFreqT0,0.565912173618176
C1R7,1,4,95,5,Isolate1CFUFreqT0,0.961195104391649
C1R7,1,5,5,95,Isolate1CFUFreqT0,0.0222308206408949
C1R7,1,5,50,50,Isolate1CFUFreqT0,0.301670644391408
C1R7,1,5,95,5,Isolate1CFUFreqT0,0.891396332863188
C1R7,1,6,5,95,Isolate1CFUFreqT0,0.0256079965932276
C1R7,1,6,50,50,Isolate1CFUFreqT0,0.33303942909101
C1R7,1,6,95,5,Isolate1CFUFreqT0,0.904647855699424
C1R7,1,7,5,95,Isolate1CFUFreqT0,0.139401257867338
C1R7,1,7,50,50,Isolate1CFUFreqT0,0.754760860160951
C1R7,1,7,95,5,Isolate1CFUFreqT0,0.983186325250886
C1R7,2,3,5,95,Isolate1CFUFreqT0,0.0443672050705378
C1R7,2,3,50,50,Isolate1CFUFreqT0,0.468682505399569
C1R7,2,3,95,5,Isolate1CFUFreqT0,0.94369420920119
C1R7,2,4,5,95,Isolate1CFUFreqT0,0.169294900794934
C1R7,2,4,50,50,Isolate1CFUFreqT0,0.794751213592234
C1R7,2,4,95,5,Isolate1CFUFreqT0,0.986589886415446
C1R7,2,5,5,95,Isolate1CFUFreqT0,0.0632583901176987
C1R7,2,5,50,50,Isolate1CFUFreqT0,0.56199417287148
C1R7,2,5,95,5,Isolate1CFUFreqT0,0.96059644115677
C1R7,2,6,5,95,Isolate1CFUFreqT0,0.0724066865124803
C1R7,2,6,50,50,Isolate1CFUFreqT0,0.597279939554214
C1R7,2,6,95,5,Isolate1CFUFreqT0,0.965728982478701
C1R7,2,7,5,95,Isolate1CFUFreqT0,0.32483109204312
C1R7,2,7,50,50,Isolate1CFUFreqT0,0.901391428925875
C1R7,2,7,95,5,Isolate1CFUFreqT0,0.994275279574102
C1R7,3,4,5,95,Isolate1CFUFreqT0,0.187673514714048
C1R7,3,4,50,50,Isolate1CFUFreqT0,0.814457831325301
C1R7,3,4,95,5,Isolate1CFUFreqT0,0.988152023388214
C1R7,3,5,5,95,Isolate1CFUFreqT0,0.0711111111111111
C1R7,3,5,50,50,Isolate1CFUFreqT0,0.592592592592593
C1R7,3,5,95,5,Isolate1CFUFreqT0,0.965079365079365
C1R7,3,6,5,95,Isolate1CFUFreqT0,0.081296493092455
C1R7,3,6,50,50,Isolate1CFUFreqT0,0.62704918032787
C1R7,3,6,95,5,Isolate1CFUFreqT0,0.96964643095397
C1R7,3,7,5,95,Isolate1CFUFreqT0,0.352921176403922
C1R7,3,7,50,50,Isolate1CFUFreqT0,0.911992971152438
C1R7,3,7,95,5,Isolate1CFUFreqT0,0.994946734716185
C1R7,4,5,5,95,Isolate1CFUFreqT0,0.0171411080501989
C1R7,4,5,50,50,Isolate1CFUFreqT0,0.248888888888889
C1R7,4,5,95,5,Isolate1CFUFreqT0,0.862935928629359
C1R7,4,6,5,95,Isolate1CFUFreqT0,0.01976071105684
C1R7,4,6,50,50,Isolate1CFUFreqT0,0.276945861444792
C1R7,4,6,95,5,Isolate1CFUFreqT0,0.879189464133513
C1R7,4,7,5,95,Isolate1CFUFreqT0,0.110517706348991
C1R7,4,7,50,50,Isolate1CFUFreqT0,0.702446484076321
C1R7,4,7,95,5,Isolate1CFUFreqT0,0.978191680206194
C1R7,5,6,5,95,Isolate1CFUFreqT0,0.0573482809145741
C1R7,5,6,50,50,Isolate1CFUFreqT0,0.536158012105767
C1R7,5,6,95,5,Isolate1CFUFreqT0,0.956450213860557
C1R7,5,7,5,95,Isolate1CFUFreqT0,0.272709902393198
C1R7,5,7,50,50,Isolate1CFUFreqT0,0.876913624494394
C1R7,5,7,95,5,Isolate1CFUFreqT0,0.992666640229152
C1R7,6,7,5,95,Isolate1CFUFreqT0,0.244936696551858
C1R7,6,7,50,50,Isolate1CFUFreqT0,0.860402519504297
C1R7,6,7,95,5,Isolate1CFUFreqT0,0.991533001570418
C2R6,1,2,5,95,Isolate1CFUFreqT0,0.0360766629086808
C2R6,1,2,50,50,Isolate1CFUFreqT0,0.415584415584414
C2R6,1,2,95,5,Isolate1CFUFreqT0,0.931087289433384
C2R6,1,3,5,95,Isolate1CFUFreqT0,0.0918196399928707
C2R6,1,3,50,50,Isolate1CFUFreqT0,0.657646157773805
C2R6,1,3,95,5,Isolate1CFUFreqT0,0.973332007556925
C2R6,1,4,5,95,Isolate1CFUFreqT0,0.0222061844223615
C2R6,1,4,50,50,Isolate1CFUFreqT0,0.30143180105501
C2R6,1,4,95,5,Isolate1CFUFreqT0,0.891286501700481
C2R6,2,3,5,95,Isolate1CFUFreqT0,0.124478119684552
C2R6,2,3,50,50,Isolate1CFUFreqT0,0.729827742520399
C2R6,2,3,95,5,Isolate1CFUFreqT0,0.980888860386071
C2R6,2,4,5,95,Isolate1CFUFreqT0,0.0309482545184452
C2R6,2,4,50,50,Isolate1CFUFreqT0,0.377643504531722
C2R6,2,4,95,5,Isolate1CFUFreqT0,0.920185974428516
C2R6,3,4,5,95,Isolate1CFUFreqT0,0.0116843683540254
C2R6,3,4,50,50,Isolate1CFUFreqT0,0.183425251132559
C2R6,3,4,95,5,Isolate1CFUFreqT0,0.8101719361707
C2R8,1,2,5,95,Isolate1CFUFreqT0,0.0887941310700446
C2R8,1,2,50,50,Isolate1CFUFreqT0,0.649306143592912
C2R8,1,2,95,5,Isolate1CFUFreqT0,0.972359127973398
C2R8,1,3,5,95,Isolate1CFUFreqT0,0.0180789921979367
C2R8,1,3,50,50,Isolate1CFUFreqT0,0.259163412224156
C2R8,1,3,95,5,Isolate1CFUFreqT0,0.869224316220503
C2R8,1,4,5,95,Isolate1CFUFreqT0,0.00623866989926721
C2R8,1,4,50,50,Isolate1CFUFreqT0,0.106567606001683
C2R8,1,4,95,5,Isolate1CFUFreqT0,0.693843047944864
C2R8,2,3,5,95,Isolate1CFUFreqT0,0.00984643159972737
C2R8,2,3,50,50,Isolate1CFUFreqT0,0.158916510484811
C2R8,2,3,95,5,Isolate1CFUFreqT0,0.782130785648202
C2R8,2,4,5,95,Isolate1CFUFreqT0,0.00337923574680995
C2R8,2,4,50,50,Isolate1CFUFreqT0,0.0605240298175791
C2R8,2,4,95,5,Isolate1CFUFreqT0,0.550367885215944
C2R8,3,4,5,95,Isolate1CFUFreqT0,0.0176292593079858
C2R8,3,4,50,50,Isolate1CFUFreqT0,0.25426944971537
C2R8,3,4,95,5,Isolate1CFUFreqT0,0.866281047975502
C4R1,1,2,5,95,Isolate1CFUFreqT0,0.2673627022819
C4R1,1,2,50,50,Isolate1CFUFreqT0,0.873955494594741
C4R1,1,2,95,5,Isolate1CFUFreqT0,0.992466498895971
C4R1,1,3,5,95,Isolate1CFUFreqT0,0.0404740944323963
C4R1,1,3,50,50,Isolate1CFUFreqT0,0.444890252537172
C4R1,1,3,95,5,Isolate1CFUFreqT0,0.938376084051668
C4R1,2,3,5,95,Isolate1CFUFreqT0,0.00604673591620695
C4R1,2,3,50,50,Isolate1CFUFreqT0,0.103610848506427
C4R1,2,3,95,5,Isolate1CFUFreqT0,0.687123689206389
C7R1,1,2,5,95,Isolate1CFUFreqT0,0.035950330014543
C7R1,1,2,50,50,Isolate1CFUFreqT0,0.414700872348114
C7R1,1,2,95,5,Isolate1CFUFreqT0,0.930853431716316
C7R1,1,3,5,95,Isolate1CFUFreqT0,0.0438468404549929
C7R1,1,3,50,50,Isolate1CFUFreqT0,0.465610265882468
C7R1,1,3,95,5,Isolate1CFUFreqT0,0.943034793647504
C7R1,1,4,5,95,Isolate1CFUFreqT0,0.040577307403471
C7R1,1,4,50,50,Isolate1CFUFreqT0,0.445545892849097
C7R1,1,4,95,5,Isolate1CFUFreqT0,0.938529401479691
C7R1,2,3,5,95,Isolate1CFUFreqT0,0.060787940258139
C7R1,2,3,50,50,Isolate1CFUFreqT0,0.551513839269605
C7R1,2,3,95,5,Isolate1CFUFreqT0,0.958957084592394
C7R1,2,4,5,95,Isolate1CFUFreqT0,0.0563295794562711
C7R1,2,4,50,50,Isolate1CFUFreqT0,0.531428956410429
C7R1,2,4,95,5,Isolate1CFUFreqT0,0.955651769146894
C7R1,3,4,5,95,Isolate1CFUFreqT0,0.0462938582553244
C7R1,3,4,50,50,Isolate1CFUFreqT0,0.479784197484395
C7R1,3,4,95,5,Isolate1CFUFreqT0,0.946013951414184
C8R4,1,2,5,95,Isolate1CFUFreqT0,0.0142080250845133
C8R4,1,2,50,50,Isolate1CFUFreqT0,0.214974054855449
C8R4,1,2,95,5,Isolate1CFUFreqT0,0.83878824783072
C8R4,1,3,5,95,Isolate1CFUFreqT0,0.0634343434343435
C8R4,1,3,50,50,Isolate1CFUFreqT0,0.562724014336918
