Assembly,ExpID,ID,Community,Isolate,Family,Genus
self_assembly,1.2.A.1,259,C1R2,1,Enterobacteriaceae,Citrobacter
self_assembly,1.2.A.3,428,C1R2,2,Pseudomonadaceae,Pseudomonas
self_assembly,1.2.A.5,364,C1R2,3,Enterobacteriaceae,Serratia
self_assembly,1.2.B.6,432,C1R2,4,Pseudomonadaceae,Pseudomonas
self_assembly,1.4.A.1,267,C1R4,1,Pseudomonadaceae,Pseudomonas
self_assembly,1.4.A.3,269,C1R4,2,Enterobacteriaceae,Enterobacter
self_assembly,1.4.A.4,434,C1R4,3,Pseudomonadaceae,Pseudomonas
self_assembly,1.4.A.5,435,C1R4,4,Enterobacteriaceae,Citrobacter
self_assembly,1.4.B.4,270,C1R4,5,Enterobacteriaceae,Citrobacter
self_assembly,1.6.A.1,272,C1R6,1,Pseudomonadaceae,Pseudomonas
self_assembly,1.6.A.2,273,C1R6,2,Enterobacteriaceae,Enterobacter
self_assembly,1.6.A.4,274,C1R6,3,Pseudomonadaceae,Pseudomonas
self_assembly,1.6.A.5,438,C1R6,4,Enterobacteriaceae,Serratia
self_assembly,1.6.A.6,439,C1R6,5,Enterobacteriaceae,Citrobacter
self_assembly,1.7.A.1,440,C1R7,1,Enterobacteriaceae,Enterobacter
self_assembly,1.7.A.1.2,441,C1R7,2,Pseudomonadaceae,Pseudomonas
self_assembly,1.7.A.3,283,C1R7,3,Enterobacteriaceae,Enterobacter
self_assembly,1.7.A.4,284,C1R7,4,Enterobacteriaceae,Serratia
self_assembly,1.7.A.5,442,C1R7,5,Enterobacteriaceae,Enterobacter
self_assembly,1.7.B.3,286,C1R7,6,Enterobacteriaceae,Citrobacter
self_assembly,1.7.B.4,287,C1R7,7,Enterobacteriaceae,Raoultella
self_assembly,2.6.A.1,276,C2R6,1,Enterobacteriaceae,Enterobacter
self_assembly,2.6.A.2,277,C2R6,2,Enterobacteriaceae,Raoultella
self_assembly,2.6.A.3,278,C2R6,3,Enterobacteriaceae,Citrobacter
self_assembly,2.6.A.5,NA,C2R6,4,NA,NA
self_assembly,2.8.A.1,288,C2R8,1,Enterobacteriaceae,Raoultella
self_assembly,2.8.A.2,289,C2R8,2,Enterobacteriaceae,Citrobacter
self_assembly,2.8.A.3,290,C2R8,3,Pseudomonadaceae,Pseudomonas
self_assembly,2.8.B.2,444,C2R8,4,Pseudomonadaceae,Pseudomonas
self_assembly,4.1.A.1,294,C4R1,1,Pseudomonadaceae,Pseudomonas
self_assembly,4.1.A.2,295,C4R1,2,Enterobacteriaceae,Enterobacter
self_assembly,4.1.B.4,302,C4R1,3,Comamonadaceae,Delftia
self_assembly,7.1.A.1,303,C7R1,1,Enterobacteriaceae,Enterobacter
