Batch,Community,Isolate1,Isolate2,Freq1,Freq2,image_name_pair,image_name_isolate1,image_name_isolate2
B2,C11R1,5,6,95,5,B2_T8_C11R1_5-95_5_6,B2_T8_C11R1_5,B2_T8_C11R1_6
B2,C11R1,5,7,95,5,B2_T8_C11R1_5-95_5_7,B2_T8_C11R1_5,B2_T8_C11R1_7
B2,C11R1,5,8,95,5,B2_T8_C11R1_5-95_5_8,B2_T8_C11R1_5,B2_T8_C11R1_8
B2,C11R1,5,9,95,5,B2_T8_C11R1_5-95_5_9,B2_T8_C11R1_5,B2_T8_C11R1_9
B2,C11R1,6,1,95,5,B2_T8_C11R1_5-95_6_1,B2_T8_C11R1_6,B2_T8_C11R1_1
B2,C11R1,6,2,95,5,B2_T8_C11R1_5-95_6_2,B2_T8_C11R1_6,B2_T8_C11R1_2
B2,C11R1,6,3,95,5,B2_T8_C11R1_5-95_6_3,B2_T8_C11R1_6,B2_T8_C11R1_3
B2,C11R1,6,4,95,5,B2_T8_C11R1_5-95_6_4,B2_T8_C11R1_6,B2_T8_C11R1_4
B2,C11R1,6,5,95,5,B2_T8_C11R1_5-95_6_5,B2_T8_C11R1_6,B2_T8_C11R1_5
B2,C11R1,6,7,95,5,B2_T8_C11R1_5-95_6_7,B2_T8_C11R1_6,B2_T8_C11R1_7
B2,C11R1,6,8,95,5,B2_T8_C11R1_5-95_6_8,B2_T8_C11R1_6,B2_T8_C11R1_8
B2,C11R1,6,9,95,5,B2_T8_C11R1_5-95_6_9,B2_T8_C11R1_6,B2_T8_C11R1_9
B2,C11R1,7,1,95,5,B2_T8_C11R1_5-95_7_1,B2_T8_C11R1_7,B2_T8_C11R1_1
B2,C11R1,7,2,95,5,B2_T8_C11R1_5-95_7_2,B2_T8_C11R1_7,B2_T8_C11R1_2
B2,C11R1,7,3,95,5,B2_T8_C11R1_5-95_7_3,B2_T8_C11R1_7,B2_T8_C11R1_3
B2,C11R1,7,4,95,5,B2_T8_C11R1_5-95_7_4,B2_T8_C11R1_7,B2_T8_C11R1_4
B2,C11R1,7,5,95,5,B2_T8_C11R1_5-95_7_5,B2_T8_C11R1_7,B2_T8_C11R1_5
B2,C11R1,7,6,95,5,B2_T8_C11R1_5-95_7_6,B2_T8_C11R1_7,B2_T8_C11R1_6
B2,C11R1,7,8,95,5,B2_T8_C11R1_5-95_7_8,B2_T8_C11R1_7,B2_T8_C11R1_8
B2,C11R1,7,9,95,5,B2_T8_C11R1_5-95_7_9,B2_T8_C11R1_7,B2_T8_C11R1_9
B2,C11R1,8,1,95,5,B2_T8_C11R1_5-95_8_1,B2_T8_C11R1_8,B2_T8_C11R1_1
B2,C11R1,8,2,95,5,B2_T8_C11R1_5-95_8_2,B2_T8_C11R1_8,B2_T8_C11R1_2
B2,C11R1,8,3,95,5,B2_T8_C11R1_5-95_8_3,B2_T8_C11R1_8,B2_T8_C11R1_3
B2,C11R1,8,4,95,5,B2_T8_C11R1_5-95_8_4,B2_T8_C11R1_8,B2_T8_C11R1_4
B2,C11R1,8,5,95,5,B2_T8_C11R1_5-95_8_5,B2_T8_C11R1_8,B2_T8_C11R1_5
