Batch,Community,Isolate1,Isolate2,Freq1,Freq2,image_name_pair,image_name_isolate1,image_name_isolate2
C2,C11R2,1,2,95,5,C2_T8_C11R2_5-95_1_2,C2_T8_C11R2_1,C2_T8_C11R2_2
C2,C11R2,1,3,95,5,C2_T8_C11R2_5-95_1_3,C2_T8_C11R2_1,C2_T8_C11R2_3
C2,C11R2,1,4,95,5,C2_T8_C11R2_5-95_1_4,C2_T8_C11R2_1,C2_T8_C11R2_4
C2,C11R2,1,5,95,5,C2_T8_C11R2_5-95_1_5,C2_T8_C11R2_1,C2_T8_C11R2_5
C2,C11R2,1,6,95,5,C2_T8_C11R2_5-95_1_6,C2_T8_C11R2_1,C2_T8_C11R2_6
C2,C11R2,1,7,95,5,C2_T8_C11R2_5-95_1_7,C2_T8_C11R2_1,C2_T8_C11R2_7
C2,C11R2,1,8,95,5,C2_T8_C11R2_5-95_1_8,C2_T8_C11R2_1,C2_T8_C11R2_8
C2,C11R2,1,9,95,5,C2_T8_C11R2_5-95_1_9,C2_T8_C11R2_1,C2_T8_C11R2_9
C2,C11R2,10,1,95,5,C2_T8_C11R2_5-95_10_1,C2_T8_C11R2_10,C2_T8_C11R2_1
C2,C11R2,10,11,95,5,C2_T8_C11R2_5-95_10_11,C2_T8_C11R2_10,C2_T8_C11R2_11
C2,C11R2,10,12,95,5,C2_T8_C11R2_5-95_10_12,C2_T8_C11R2_10,C2_T8_C11R2_12
C2,C11R2,10,13,95,5,C2_T8_C11R2_5-95_10_13,C2_T8_C11R2_10,C2_T8_C11R2_13
C2,C11R2,10,2,95,5,C2_T8_C11R2_5-95_10_2,C2_T8_C11R2_10,C2_T8_C11R2_2
C2,C11R2,10,3,95,5,C2_T8_C11R2_5-95_10_3,C2_T8_C11R2_10,C2_T8_C11R2_3
C2,C11R2,10,4,95,5,C2_T8_C11R2_5-95_10_4,C2_T8_C11R2_10,C2_T8_C11R2_4
C2,C11R2,10,5,95,5,C2_T8_C11R2_5-95_10_5,C2_T8_C11R2_10,C2_T8_C11R2_5
C2,C11R2,10,6,95,5,C2_T8_C11R2_5-95_10_6,C2_T8_C11R2_10,C2_T8_C11R2_6
C2,C11R2,10,7,95,5,C2_T8_C11R2_5-95_10_7,C2_T8_C11R2_10,C2_T8_C11R2_7
C2,C11R2,10,8,95,5,C2_T8_C11R2_5-95_10_8,C2_T8_C11R2_10,C2_T8_C11R2_8
C2,C11R2,10,9,95,5,C2_T8_C11R2_5-95_10_9,C2_T8_C11R2_10,C2_T8_C11R2_9
C2,C11R2,11,1,95,5,C2_T8_C11R2_5-95_11_1,C2_T8_C11R2_11,C2_T8_C11R2_1
C2,C11R2,11,10,95,5,C2_T8_C11R2_5-95_11_10,C2_T8_C11R2_11,C2_T8_C11R2_10
C2,C11R2,11,12,95,5,C2_T8_C11R2_5-95_11_12,C2_T8_C11R2_11,C2_T8_C11R2_12
C2,C11R2,11,13,95,5,C2_T8_C11R2_5-95_11_13,C2_T8_C11R2_11,C2_T8_C11R2_13
C2,C11R2,11,2,95,5,C2_T8_C11R2_5-95_11_2,C2_T8_C11R2_11,C2_T8_C11R2_2
C2,C11R2,11,3,95,5,C2_T8_C11R2_5-95_11_3,C2_T8_C11R2_11,C2_T8_C11R2_3
C2,C11R2,11,4,95,5,C2_T8_C11R2_5-95_11_4,C2_T8_C11R2_11,C2_T8_C11R2_4
C2,C11R2,11,5,95,5,C2_T8_C11R2_5-95_11_5,C2_T8_C11R2_11,C2_T8_C11R2_5
C2,C11R2,11,6,95,5,C2_T8_C11R2_5-95_11_6,C2_T8_C11R2_11,C2_T8_C11R2_6
C2,C11R2,11,7,95,5,C2_T8_C11R2_5-95_11_7,C2_T8_C11R2_11,C2_T8_C11R2_7
C2,C11R2,11,8,95,5,C2_T8_C11R2_5-95_11_8,C2_T8_C11R2_11,C2_T8_C11R2_8
C2,C11R2,11,9,95,5,C2_T8_C11R2_5-95_11_9,C2_T8_C11R2_11,C2_T8_C11R2_9
C2,C11R2,12,1,95,5,C2_T8_C11R2_5-95_12_1,C2_T8_C11R2_12,C2_T8_C11R2_1
C2,C11R2,12,10,95,5,C2_T8_C11R2_5-95_12_10,C2_T8_C11R2_12,C2_T8_C11R2_10
C2,C11R2,12,11,95,5,C2_T8_C11R2_5-95_12_11,C2_T8_C11R2_12,C2_T8_C11R2_11
C2,C11R2,12,13,95,5,C2_T8_C11R2_5-95_12_13,C2_T8_C11R2_12,C2_T8_C11R2_13
C2,C11R2,12,2,95,5,C2_T8_C11R2_5-95_12_2,C2_T8_C11R2_12,C2_T8_C11R2_2
C2,C11R2,12,3,95,5,C2_T8_C11R2_5-95_12_3,C2_T8_C11R2_12,C2_T8_C11R2_3
C2,C11R2,12,4,95,5,C2_T8_C11R2_5-95_12_4,C2_T8_C11R2_12,C2_T8_C11R2_4
C2,C11R2,12,5,95,5,C2_T8_C11R2_5-95_12_5,C2_T8_C11R2_12,C2_T8_C11R2_5
C2,C11R2,12,6,95,5,C2_T8_C11R2_5-95_12_6,C2_T8_C11R2_12,C2_T8_C11R2_6
C2,C11R2,12,7,95,5,C2_T8_C11R2_5-95_12_7,C2_T8_C11R2_12,C2_T8_C11R2_7
C2,C11R2,12,8,95,5,C2_T8_C11R2_5-95_12_8,C2_T8_C11R2_12,C2_T8_C11R2_8
C2,C11R2,12,9,95,5,C2_T8_C11R2_5-95_12_9,C2_T8_C11R2_12,C2_T8_C11R2_9
C2,C11R2,13,1,95,5,C2_T8_C11R2_5-95_13_1,C2_T8_C11R2_13,C2_T8_C11R2_1
C2,C11R2,13,10,95,5,C2_T8_C11R2_5-95_13_10,C2_T8_C11R2_13,C2_T8_C11R2_10
C2,C11R2,13,11,95,5,C2_T8_C11R2_5-95_13_11,C2_T8_C11R2_13,C2_T8_C11R2_11
C2,C11R2,13,12,95,5,C2_T8_C11R2_5-95_13_12,C2_T8_C11R2_13,C2_T8_C11R2_12
C2,C11R2,13,2,95,5,C2_T8_C11R2_5-95_13_2,C2_T8_C11R2_13,C2_T8_C11R2_2
C2,C11R2,13,3,95,5,C2_T8_C11R2_5-95_13_3,C2_T8_C11R2_13,C2_T8_C11R2_3
C2,C11R2,13,4,95,5,C2_T8_C11R2_5-95_13_4,C2_T8_C11R2_13,C2_T8_C11R2_4
C2,C11R2,13,5,95,5,C2_T8_C11R2_5-95_13_5,C2_T8_C11R2_13,C2_T8_C11R2_5
C2,C11R2,13,6,95,5,C2_T8_C11R2_5-95_13_6,C2_T8_C11R2_13,C2_T8_C11R2_6
C2,C11R2,13,7,95,5,C2_T8_C11R2_5-95_13_7,C2_T8_C11R2_13,C2_T8_C11R2_7
C2,C11R2,13,8,95,5,C2_T8_C11R2_5-95_13_8,C2_T8_C11R2_13,C2_T8_C11R2_8
C2,C11R2,13,9,95,5,C2_T8_C11R2_5-95_13_9,C2_T8_C11R2_13,C2_T8_C11R2_9
C2,C11R2,2,1,95,5,C2_T8_C11R2_5-95_2_1,C2_T8_C11R2_2,C2_T8_C11R2_1
C2,C11R2,2,10,95,5,C2_T8_C11R2_5-95_2_10,C2_T8_C11R2_2,C2_T8_C11R2_10
C2,C11R2,2,11,95,5,C2_T8_C11R2_5-95_2_11,C2_T8_C11R2_2,C2_T8_C11R2_11
C2,C11R2,2,12,95,5,C2_T8_C11R2_5-95_2_12,C2_T8_C11R2_2,C2_T8_C11R2_12
C2,C11R2,2,13,95,5,C2_T8_C11R2_5-95_2_13,C2_T8_C11R2_2,C2_T8_C11R2_13
C2,C11R2,2,3,95,5,C2_T8_C11R2_5-95_2_3,C2_T8_C11R2_2,C2_T8_C11R2_3
