Batch,Community,Isolate1,Isolate2,Freq1,Freq2,image_name_pair,image_name_isolate1,image_name_isolate2
D,C1R4,1,2,95,5,D_T8_C1R4_5-95_1_2,D_T8_C1R4_1,D_T8_C1R4_2
D,C1R4,1,3,95,5,D_T8_C1R4_5-95_1_3,D_T8_C1R4_1,D_T0_C1R4_3
D,C1R4,1,4,95,5,D_T8_C1R4_5-95_1_4,D_T8_C1R4_1,D_T8_C1R4_4
D,C1R4,1,5,95,5,D_T8_C1R4_5-95_1_5,D_T8_C1R4_1,D_T8_C1R4_5
D,C1R4,2,1,95,5,D_T8_C1R4_5-95_2_1,D_T8_C1R4_2,D_T8_C1R4_1
D,C1R4,2,3,95,5,D_T8_C1R4_5-95_2_3,D_T8_C1R4_2,D_T0_C1R4_3
D,C1R4,2,4,95,5,D_T8_C1R4_5-95_2_4,D_T8_C1R4_2,D_T8_C1R4_4
D,C1R4,2,5,95,5,D_T8_C1R4_5-95_2_5,D_T8_C1R4_2,D_T8_C1R4_5
D,C1R4,3,1,95,5,D_T8_C1R4_5-95_3_1,D_T0_C1R4_3,D_T8_C1R4_1
D,C1R4,3,2,95,5,D_T8_C1R4_5-95_3_2,D_T0_C1R4_3,D_T8_C1R4_2
D,C1R4,3,4,95,5,D_T8_C1R4_5-95_3_4,D_T0_C1R4_3,D_T8_C1R4_4
D,C1R4,3,5,95,5,D_T8_C1R4_5-95_3_5,D_T0_C1R4_3,D_T8_C1R4_5
D,C1R4,4,1,95,5,D_T8_C1R4_5-95_4_1,D_T8_C1R4_4,D_T8_C1R4_1
D,C1R4,4,2,95,5,D_T8_C1R4_5-95_4_2,D_T8_C1R4_4,D_T8_C1R4_2
D,C1R4,4,3,95,5,D_T8_C1R4_5-95_4_3,D_T8_C1R4_4,D_T0_C1R4_3
D,C1R4,4,5,95,5,D_T8_C1R4_5-95_4_5,D_T8_C1R4_4,D_T8_C1R4_5
D,C1R4,5,1,95,5,D_T8_C1R4_5-95_5_1,D_T8_C1R4_5,D_T8_C1R4_1
D,C1R4,5,2,95,5,D_T8_C1R4_5-95_5_2,D_T8_C1R4_5,D_T8_C1R4_2
D,C1R4,5,3,95,5,D_T8_C1R4_5-95_5_3,D_T8_C1R4_5,D_T0_C1R4_3
D,C1R4,5,4,95,5,D_T8_C1R4_5-95_5_4,D_T8_C1R4_5,D_T8_C1R4_4
D,C1R4,1,2,50,50,D_T8_C1R4_50-50_1_2,D_T8_C1R4_1,D_T8_C1R4_2
D,C1R4,1,3,50,50,D_T8_C1R4_50-50_1_3,D_T8_C1R4_1,D_T0_C1R4_3
D,C1R4,1,4,50,50,D_T8_C1R4_50-50_1_4,D_T8_C1R4_1,D_T8_C1R4_4
D,C1R4,1,5,50,50,D_T8_C1R4_50-50_1_5,D_T8_C1R4_1,D_T8_C1R4_5
D,C1R4,2,3,50,50,D_T8_C1R4_50-50_2_3,D_T8_C1R4_2,D_T0_C1R4_3
D,C1R4,2,4,50,50,D_T8_C1R4_50-50_2_4,D_T8_C1R4_2,D_T8_C1R4_4
D,C1R4,2,5,50,50,D_T8_C1R4_50-50_2_5,D_T8_C1R4_2,D_T8_C1R4_5
D,C1R4,3,4,50,50,D_T8_C1R4_50-50_3_4,D_T0_C1R4_3,D_T8_C1R4_4
D,C1R4,3,5,50,50,D_T8_C1R4_50-50_3_5,D_T0_C1R4_3,D_T8_C1R4_5
D,C1R4,4,5,50,50,D_T8_C1R4_50-50_4_5,D_T8_C1R4_4,D_T8_C1R4_5
D,C1R6,1,2,95,5,D_T8_C1R6_5-95_1_2,D_T8_C1R6_1,D_T8_C1R6_2
D,C1R6,1,3,95,5,D_T8_C1R6_5-95_1_3,D_T8_C1R6_1,D_T0_C1R6_3
D,C1R6,1,4,95,5,D_T8_C1R6_5-95_1_4,D_T8_C1R6_1,D_T8_C1R6_4
D,C1R6,1,5,95,5,D_T8_C1R6_5-95_1_5,D_T8_C1R6_1,D_T8_C1R6_5
D,C1R6,2,1,95,5,D_T8_C1R6_5-95_2_1,D_T8_C1R6_2,D_T8_C1R6_1
D,C1R6,2,3,95,5,D_T8_C1R6_5-95_2_3,D_T8_C1R6_2,D_T0_C1R6_3
D,C1R6,2,4,95,5,D_T8_C1R6_5-95_2_4,D_T8_C1R6_2,D_T8_C1R6_4
D,C1R6,2,5,95,5,D_T8_C1R6_5-95_2_5,D_T8_C1R6_2,D_T8_C1R6_5
D,C1R6,3,1,95,5,D_T8_C1R6_5-95_3_1,D_T0_C1R6_3,D_T8_C1R6_1
D,C1R6,3,2,95,5,D_T8_C1R6_5-95_3_2,D_T0_C1R6_3,D_T8_C1R6_2
D,C1R6,3,4,95,5,D_T8_C1R6_5-95_3_4,D_T0_C1R6_3,D_T8_C1R6_4
D,C1R6,3,5,95,5,D_T8_C1R6_5-95_3_5,D_T0_C1R6_3,D_T8_C1R6_5
D,C1R6,4,1,95,5,D_T8_C1R6_5-95_4_1,D_T8_C1R6_4,D_T8_C1R6_1
D,C1R6,4,2,95,5,D_T8_C1R6_5-95_4_2,D_T8_C1R6_4,D_T8_C1R6_2
D,C1R6,4,3,95,5,D_T8_C1R6_5-95_4_3,D_T8_C1R6_4,D_T0_C1R6_3
D,C1R6,4,5,95,5,D_T8_C1R6_5-95_4_5,D_T8_C1R6_4,D_T8_C1R6_5
D,C1R6,5,1,95,5,D_T8_C1R6_5-95_5_1,D_T8_C1R6_5,D_T8_C1R6_1
