Community,Isolate1,Isolate2,Experiment
C1R2,3,4,Transitivity_D
C1R4,2,4,Transitivity_D
C1R4,2,5,Transitivity_D
C1R4,3,5,Transitivity_D
C1R4,4,5,Transitivity_D
C1R6,1,2,Transitivity_D
C1R6,2,5,Transitivity_D
C2R8,3,4,Transitivity_B2
C4R1,1,3,Transitivity_D
C7R1,3,4,Transitivity_B2
C11R1,1,4,Transitivity_C
C11R1,2,8,Transitivity_B2
C11R1,8,9,Transitivity_B2
C11R1,1,2,Transitivity_C
C11R1,1,3,Transitivity_C
C11R1,2,9,Transitivity_B2
C11R2,2,8,Transitivity_C2
C11R2,3,5,Transitivity_C2
C11R2,3,6,Transitivity_C2
C11R2,3,7,Transitivity_C2
C11R2,7,12,Transitivity_C2
C11R2,2,9,Transitivity_C2
C11R2,2,10,Transitivity_C2
C11R2,3,12,Transitivity_C2
C11R2,6,11,Transitivity_C2
C11R2,2,3,Transitivity_C2
C11R2,10,12,Transitivity_C2
C11R5,1,3,Transitivity_D
C11R5,2,4,Transitivity_D
