exp_id,Transfer,Type,ID,Well,Abundance
community-top_down-1-W35-reconstituted_pairs,0,consumer,2,W1,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,17,W1,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,2,W10,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,138,W10,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,17,W11,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,21,W11,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,17,W12,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,33,W12,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,17,W13,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,70,W13,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,17,W14,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,101,W14,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,17,W15,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,111,W15,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,17,W16,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,113,W16,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,17,W17,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,131,W17,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,17,W18,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,136,W18,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,17,W19,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,138,W19,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,2,W2,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,21,W2,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,21,W20,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,33,W20,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,21,W21,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,70,W21,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,21,W22,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,101,W22,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,21,W23,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,111,W23,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,21,W24,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,113,W24,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,21,W25,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,131,W25,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,21,W26,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,136,W26,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,21,W27,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,138,W27,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,33,W28,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,70,W28,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,33,W29,0.5
community-top_down-1-W35-reconstituted_pairs,0,consumer,101,W29,0.5
