Community,Motif,Count,Fraction,Percentile
C2R8,6,1,0.5,p95
C2R8,7,0,0,p5
C2R8,7,0,0,p95
C4R1,1,0,0,p5
C4R1,1,0,0,p95
C4R1,2,0,0,p5
C4R1,2,0,0,p95
C4R1,3,0,0,p5
C4R1,3,1,1,p95
C4R1,4,0,0,p5
C4R1,4,1,1,p95
C4R1,5,0,0,p5
C4R1,5,1,1,p95
C4R1,6,0,0,p5
C4R1,6,0,0,p95
C4R1,7,0,0,p5
C4R1,7,0,0,p95
C7R1,1,0,0,p5
C7R1,1,2,0.5,p95
C7R1,2,0,0,p5
C7R1,2,2,0.5,p95
C7R1,3,0,0,p5
C7R1,3,2,0.5,p95
C7R1,4,0,0,p5
C7R1,4,2,0.5,p95
C7R1,5,0,0,p5
C7R1,5,2,0.5,p95
C7R1,6,0,0,p5
C7R1,6,0,0,p95
C7R1,7,0,0,p5
C7R1,7,0,0,p95
C8R4,1,0,0,p5
C8R4,1,0,0,p95
C8R4,2,0,0,p5
C8R4,2,0,0,p95
C8R4,3,0,0,p5
C8R4,3,0,0,p95
C8R4,4,0,0,p5
C8R4,4,0,0,p95
C8R4,5,0,0,p5
C8R4,5,0,0,p95
C8R4,6,1,1,p5
C8R4,6,1,1,p95
C8R4,7,0,0,p5
C8R4,7,0,0,p95
RanAss1,1,4,0.07142857142857142,p5
RanAss1,1,13,0.23214285714285715,p95
RanAss1,2,22,0.39285714285714285,p5
RanAss1,2,30,0.5357142857142857,p95
RanAss1,3,2,0.03571428571428571,p5
RanAss1,3,8,0.14285714285714285,p95
RanAss1,4,6,0.10714285714285714,p5
RanAss1,4,13,0.23214285714285715,p95
RanAss1,5,2,0.03571428571428571,p5
RanAss1,5,8,0.14285714285714285,p95
RanAss1,6,1,0.017857142857142856,p5
RanAss1,6,4,0.07142857142857142,p95
RanAss1,7,0,0,p5
RanAss1,7,1,0.017857142857142856,p95
RanAss2,1,0,0,p5
RanAss2,1,0,0,p95
RanAss2,2,0,0,p5
RanAss2,2,0,0,p95
RanAss2,3,0,0,p5
RanAss2,3,1,0.25,p95
RanAss2,4,0,0,p5
RanAss2,4,1,0.25,p95
RanAss2,5,0,0,p5
RanAss2,5,1,0.25,p95
RanAss2,6,2,0.5,p5
RanAss2,6,4,1,p95
RanAss2,7,0,0,p5
RanAss2,7,1,0.25,p95
