Assembly,Community,Richness
self_assembly,W0,6
self_assembly,W1,6
self_assembly,W2,9
self_assembly,W3,5
self_assembly,W4,3
self_assembly,W5,9
self_assembly,W6,3
self_assembly,W7,10
self_assembly,W8,4
self_assembly,W9,3
self_assembly,W10,6
self_assembly,W11,5
self_assembly,W12,5
self_assembly,W13,5
self_assembly,W14,2
self_assembly,W15,7
self_assembly,W16,4
self_assembly,W17,7
self_assembly,W18,6
self_assembly,W19,9
random_assembly,W0,10
random_assembly,W1,10
random_assembly,W2,10
random_assembly,W3,10
random_assembly,W4,10
random_assembly,W5,10
random_assembly,W6,10
random_assembly,W7,10
random_assembly,W8,10
random_assembly,W9,10
random_assembly,W10,10
random_assembly,W11,10
random_assembly,W12,10
random_assembly,W13,10
random_assembly,W14,10
random_assembly,W15,10
random_assembly,W16,10
random_assembly,W17,10
random_assembly,W18,10
random_assembly,W19,10
