Community,CommunitySize,CommunityPairSize,CommunitiyMotifSize,Motif,Count,Fraction,p5,p95,Sign
C1R2,4,6,4,1,0,0,1,0,bottom
C1R2,4,6,4,2,0,0,1,0,bottom
C1R2,4,6,4,3,2,0.5,2,0,top
C1R2,4,6,4,4,0,0,2,0,bottom
C1R2,4,6,4,5,2,0.5,2,0,top
C1R2,4,6,4,6,0,0,1,0,bottom
C1R2,4,6,4,7,0,0,0,0,NA
C1R4,5,10,10,1,0,0,2,0,bottom
C1R4,5,10,10,2,0,0,2,0,bottom
C1R4,5,10,10,3,3,0.3,3,0,top
C1R4,5,10,10,4,0,0,5,0,bottom
C1R4,5,10,10,5,6,0.6,3,0,top
C1R4,5,10,10,6,0,0,4,0,bottom
C1R4,5,10,10,7,1,0.1,1,0,top
C1R6,5,10,10,1,0,0,3,0,bottom
C1R6,5,10,10,2,4,0.4,5,2,top
C1R6,5,10,10,3,2,0.2,3,0,top
C1R6,5,10,10,4,3,0.3,4,1,top
C1R6,5,10,10,5,1,0.1,3,0,top
C1R6,5,10,10,6,0,0,1,0,bottom
C1R6,5,10,10,7,0,0,0,0,NA
C1R7,7,21,35,1,0,0,7,1,bottom
C1R7,7,21,35,2,17,0.4857142857142857,17,10,top
C1R7,7,21,35,3,9,0.2571428571428571,7,1,top
C1R7,7,21,35,4,0,0,11,4,bottom
C1R7,7,21,35,5,8,0.22857142857142856,6,1,top
C1R7,7,21,35,6,0,0,4,1,bottom
C1R7,7,21,35,7,1,0.02857142857142857,1,0,top
C2R6,4,6,4,1,0,0,1,0,bottom
C2R6,4,6,4,2,1,0.25,1,0,top
C2R6,4,6,4,3,2,0.5,2,0,top
C2R6,4,6,4,4,0,0,2,0,bottom
C2R6,4,6,4,5,0,0,2,0,bottom
C2R6,4,6,4,6,1,0.25,1,0,top
C2R6,4,6,4,7,0,0,0,0,NA
C2R8,4,6,4,1,0,0,0,0,NA
C2R8,4,6,4,2,0,0,1,0,bottom
C2R8,4,6,4,3,1,0.25,1,0,top
C2R8,4,6,4,4,0,0,2,0,bottom
C2R8,4,6,4,5,1,0.25,1,0,top
C2R8,4,6,4,6,2,0.5,3,0,top
C2R8,4,6,4,7,0,0,1,0,bottom
C4R1,3,3,1,1,0,0,0,0,NA
C4R1,3,3,1,2,0,0,0,0,NA
C4R1,3,3,1,3,0,0,1,0,bottom
C4R1,3,3,1,4,1,1,1,0,top
C4R1,3,3,1,5,0,0,1,0,bottom
C4R1,3,3,1,6,0,0,0,0,NA
C4R1,3,3,1,7,0,0,0,0,NA
C7R1,4,6,4,1,0,0,2,0,bottom
C7R1,4,6,4,2,2,0.5,2,0,top
C7R1,4,6,4,3,1,0.25,2,0,top
C7R1,4,6,4,4,0,0,2,0,bottom
C7R1,4,6,4,5,1,0.25,2,0,top
C7R1,4,6,4,6,0,0,0,0,NA
C7R1,4,6,4,7,0,0,0,0,NA
C8R4,3,3,1,1,0,0,0,0,NA
C8R4,3,3,1,2,0,0,0,0,NA
C8R4,3,3,1,3,0,0,0,0,NA
C8R4,3,3,1,4,0,0,0,0,NA
C8R4,3,3,1,5,0,0,0,0,NA
C8R4,3,3,1,6,1,1,1,1,NA
C8R4,3,3,1,7,0,0,0,0,NA
C10R2,3,3,1,1,0,0,0,0,NA
C10R2,3,3,1,2,0,0,0,0,NA
C10R2,3,3,1,3,0,0,1,0,bottom
C10R2,3,3,1,4,1,1,1,0,top
C10R2,3,3,1,5,0,0,1,0,bottom
C10R2,3,3,1,6,0,0,0,0,NA
C10R2,3,3,1,7,0,0,0,0,NA
C11R1,9,36,84,1,0,0,4,0,bottom
C11R1,9,36,84,2,12,0.14285714285714285,9,3,top
C11R1,9,36,84,3,23,0.27380952380952384,12,4,top
C11R1,9,36,84,4,1,0.011904761904761904,21,10,bottom
C11R1,9,36,84,5,5,0.05952380952380952,12,4,top
C11R1,9,36,84,6,25,0.2976190476190476,41,28,bottom
C11R1,9,36,84,7,18,0.21428571428571427,15,8,top
C11R2,12,66,220,1,0,0,20,9,bottom
C11R2,12,66,220,2,58,0.2636363636363636,52,38,top
C11R2,12,66,220,3,60,0.2727272727272727,33,17,top
C11R2,12,66,220,4,7,0.031818181818181815,60,40,bottom
C11R2,12,66,220,5,45,0.20454545454545456,33,18,top
C11R2,12,66,220,6,32,0.14545454545454545,60,45,bottom
C11R2,12,66,220,7,18,0.08181818181818182,13,5,top
C11R5,5,10,10,1,0,0,3,0,bottom
C11R5,5,10,10,2,7,0.7,7,4,top
C11R5,5,10,10,3,3,0.3,2,0,top
C11R5,5,10,10,4,0,0,3,0,bottom
C11R5,5,10,10,5,0,0,2,0,bottom
C11R5,5,10,10,6,0,0,0,0,NA
C11R5,5,10,10,7,0,0,0,0,NA
AcrAss1,8,28,56,1,0,0,1,0,bottom
AcrAss1,8,28,56,2,1,0.017857142857142856,2,0,top
AcrAss1,8,28,56,3,3,0.05357142857142857,5,0,top
AcrAss1,8,28,56,4,1,0.017857142857142856,8,2,bottom
AcrAss1,8,28,56,5,5,0.08928571428571429,5,0,top
AcrAss1,8,28,56,6,27,0.48214285714285715,31,20,top
AcrAss1,8,28,56,7,19,0.3392857142857143,22,17,top
AcrAss2,8,28,56,1,0,0,5,0,bottom
AcrAss2,8,28,56,2,14,0.25,12,6,top
AcrAss2,8,28,56,3,21,0.375,10,3,top
AcrAss2,8,28,56,4,3,0.05357142857142857,18,8,bottom
AcrAss2,8,28,56,5,0,0,10,3,bottom
AcrAss2,8,28,56,6,12,0.21428571428571427,20,12,bottom
AcrAss2,8,28,56,7,6,0.10714285714285714,5,1,top
RanAss1,8,28,56,1,0,0,13,4,bottom
RanAss1,8,28,56,2,36,0.6428571428571429,30,22,top
RanAss1,8,28,56,3,14,0.25,8,2,top
RanAss1,8,28,56,4,0,0,13,6,bottom
RanAss1,8,28,56,5,2,0.03571428571428571,8,2,bottom
RanAss1,8,28,56,6,4,0.07142857142857142,4,1,top
RanAss1,8,28,56,7,0,0,1,0,bottom
RanAss2,8,28,56,1,0,0,3,0,bottom
RanAss2,8,28,56,2,4,0.07142857142857142,5,1,top
RanAss2,8,28,56,3,6,0.10714285714285714,8,2,top
RanAss2,8,28,56,4,0,0,13,5,bottom
RanAss2,8,28,56,5,15,0.26785714285714285,8,2,top
RanAss2,8,28,56,6,18,0.32142857142857145,30,19,bottom
RanAss2,8,28,56,7,13,0.23214285714285715,13,7,top
