Community,Isolate1,Isolate2,InteractionType,From,To,CarbonSource,GrowthRateVariable,PairGrowthRateVariable
C1R2,1,4,exclusion,1,4,citrate,LagTime,6.17091909390846
C1R2,1,4,exclusion,1,4,citrate,MaxGrowthRate,0.168204433081694
C1R2,1,4,exclusion,1,4,citrate,MaxOD,0.288100122620163
C1R2,1,4,exclusion,1,4,Darabinose,LagTime,75.9943903890524
C1R2,1,4,exclusion,1,4,Darabinose,MaxGrowthRate,0.0101568811428267
C1R2,1,4,exclusion,1,4,Darabinose,MaxOD,0.24584228805059
C1R2,1,4,exclusion,1,4,formate,LagTime,103.394409324358
C1R2,1,4,exclusion,1,4,formate,MaxGrowthRate,0.0037279997640482
C1R2,1,4,exclusion,1,4,formate,MaxOD,0.0049125607323089
C1R2,1,4,exclusion,1,4,glucose,LagTime,6.10066385836938
C1R2,1,4,exclusion,1,4,glucose,MaxGrowthRate,0.612345888539051
C1R2,1,4,exclusion,1,4,glucose,MaxOD,0.149969508295711
C1R2,1,4,exclusion,1,4,glycerol,LagTime,3.765871049954
C1R2,1,4,exclusion,1,4,glycerol,MaxGrowthRate,0.365911558946
C1R2,1,4,exclusion,1,4,glycerol,MaxOD,0.118743816827351
C1R2,1,4,exclusion,1,4,inositol,LagTime,5.90311246105489
C1R2,1,4,exclusion,1,4,inositol,MaxGrowthRate,0.151216729446498
C1R2,1,4,exclusion,1,4,inositol,MaxOD,0.0177233377209536
C1R2,1,4,exclusion,1,4,Lglutamate,LagTime,2.5618678945222
C1R2,1,4,exclusion,1,4,Lglutamate,MaxGrowthRate,0.198620717827589
C1R2,1,4,exclusion,1,4,Lglutamate,MaxOD,0.492798302800489
C1R2,1,4,exclusion,1,4,phenylalanine,LagTime,0.050193037294732
C1R2,1,4,exclusion,1,4,phenylalanine,MaxGrowthRate,0.000173046862961887
C1R2,1,4,exclusion,1,4,phenylalanine,MaxOD,0.0104759718019586
C1R2,1,4,exclusion,1,4,succinate,LagTime,1.98553679961368
C1R2,1,4,exclusion,1,4,succinate,MaxGrowthRate,0.057737190631962
C1R2,1,4,exclusion,1,4,succinate,MaxOD,0.0100888890449421
C1R2,2,3,exclusion,3,2,acetate,LagTime,10.8886677674154
C1R2,2,3,exclusion,3,2,acetate,MaxGrowthRate,0.282778955471959
C1R2,2,3,exclusion,3,2,acetate,MaxOD,0.151815890933018
C1R2,2,3,exclusion,3,2,arginine,LagTime,7.55245412477684
C1R2,2,3,exclusion,3,2,arginine,MaxGrowthRate,0.16046896675442
C1R2,2,3,exclusion,3,2,arginine,MaxOD,0.401420883589936
C1R2,2,3,exclusion,3,2,citrate,LagTime,0.42542973628749
C1R2,2,3,exclusion,3,2,citrate,MaxGrowthRate,0.00440312684444902
C1R2,2,3,exclusion,3,2,citrate,MaxOD,0.080365361821676
C1R2,2,3,exclusion,3,2,Darabinose,LagTime,59.9790082108529
C1R2,2,3,exclusion,3,2,Darabinose,MaxGrowthRate,0.051759350491074
C1R2,2,3,exclusion,3,2,Darabinose,MaxOD,0.111256695977708
C1R2,2,3,exclusion,3,2,formate,LagTime,34.4714986230406
C1R2,2,3,exclusion,3,2,formate,MaxGrowthRate,0.00688029299715814
C1R2,2,3,exclusion,3,2,formate,MaxOD,0.00769332884676641
C1R2,2,3,exclusion,3,2,glucose,LagTime,1.55223002838188
C1R2,2,3,exclusion,3,2,glucose,MaxGrowthRate,0.02441269707155
C1R2,2,3,exclusion,3,2,glucose,MaxOD,0.132722558066237
C1R2,2,3,exclusion,3,2,glycerol,LagTime,2.28945769753418
C1R2,2,3,exclusion,3,2,glycerol,MaxGrowthRate,0.206377595235953
C1R2,2,3,exclusion,3,2,glycerol,MaxOD,0.00843587469651497
C1R2,2,3,exclusion,3,2,inositol,LagTime,65.9987790783794
C1R2,2,3,exclusion,3,2,inositol,MaxGrowthRate,0.147269704286634
C1R2,2,3,exclusion,3,2,inositol,MaxOD,0.0511858049152978
C1R2,2,3,exclusion,3,2,Lglutamate,LagTime,14.5177931219858
C1R2,2,3,exclusion,3,2,Lglutamate,MaxGrowthRate,0.105640934318757
C1R2,2,3,exclusion,3,2,Lglutamate,MaxOD,0.227506934933519
C1R2,2,3,exclusion,3,2,phenylalanine,LagTime,
C1R2,2,3,exclusion,3,2,phenylalanine,MaxGrowthRate,
C1R2,2,3,exclusion,3,2,phenylalanine,MaxOD,
C1R2,2,3,exclusion,3,2,succinate,LagTime,4.21887515299954
C1R2,2,3,exclusion,3,2,succinate,MaxGrowthRate,0.061471265611003
C1R2,2,3,exclusion,3,2,succinate,MaxOD,0.00611877377223297
C1R2,2,4,coexistence,2,4,acetate,LagTime,11.3348620015953
C1R2,2,4,coexistence,2,4,acetate,MaxGrowthRate,0.050770017685831
C1R2,2,4,coexistence,2,4,acetate,MaxOD,0.054902256477547
C1R2,2,4,coexistence,2,4,arginine,LagTime,0.53879888693348
C1R2,2,4,coexistence,2,4,arginine,MaxGrowthRate,0.0959066678638043
C1R2,2,4,coexistence,2,4,arginine,MaxOD,0.114941225136879
C1R2,2,4,coexistence,2,4,citrate,LagTime,4.08979993894053
C1R2,2,4,coexistence,2,4,citrate,MaxGrowthRate,0.0606462197674882
C1R2,2,4,coexistence,2,4,citrate,MaxOD,0.306608663998867
C1R2,2,4,coexistence,2,4,Darabinose,LagTime,170.574841467486
C1R2,2,4,coexistence,2,4,Darabinose,MaxGrowthRate,0.00573187904066753
C1R2,2,4,coexistence,2,4,Darabinose,MaxOD,0.242051067234964
C1R2,2,4,coexistence,2,4,formate,LagTime,0.28248062981172
C1R2,2,4,coexistence,2,4,formate,MaxGrowthRate,0.00079361331772237
C1R2,2,4,coexistence,2,4,formate,MaxOD,0.0028205576234068
C1R2,2,4,coexistence,2,4,glucose,LagTime,0.48575481518147
C1R2,2,4,coexistence,2,4,glucose,MaxGrowthRate,0.147163789963075
C1R2,2,4,coexistence,2,4,glucose,MaxOD,0.182854735343297
C1R2,2,4,coexistence,2,4,glycerol,LagTime,10.8911830203466
C1R2,2,4,coexistence,2,4,glycerol,MaxGrowthRate,0.303296951605584
C1R2,2,4,coexistence,2,4,glycerol,MaxOD,0.062876706224563
C1R2,2,4,coexistence,2,4,inositol,LagTime,69.7372966879068
C1R2,2,4,coexistence,2,4,inositol,MaxGrowthRate,0.00403788276102551
C1R2,2,4,coexistence,2,4,inositol,MaxOD,0.0535099054330912
C1R2,2,4,coexistence,2,4,Lglutamate,LagTime,2.17084997267286
C1R2,2,4,coexistence,2,4,Lglutamate,MaxGrowthRate,0.047663349688021
C1R2,2,4,coexistence,2,4,Lglutamate,MaxOD,0.086584864699017
C1R2,2,4,coexistence,2,4,phenylalanine,LagTime,0.027138998569265
C1R2,2,4,coexistence,2,4,phenylalanine,MaxGrowthRate,8.6581559854243e-06
C1R2,2,4,coexistence,2,4,phenylalanine,MaxOD,0.0135264667147294
C1R2,2,4,coexistence,2,4,succinate,LagTime,1.01337103206383
C1R2,2,4,coexistence,2,4,succinate,MaxGrowthRate,0.047284091652197
C1R2,2,4,coexistence,2,4,succinate,MaxOD,0.0467201985900529
C1R2,3,4,exclusion,3,4,acetate,LagTime,0.446194234179981
C1R2,3,4,exclusion,3,4,acetate,MaxGrowthRate,0.232008937786128
C1R2,3,4,exclusion,3,4,acetate,MaxOD,0.206718147410565
C1R2,3,4,exclusion,3,4,arginine,LagTime,8.09125301171032
C1R2,3,4,exclusion,3,4,arginine,MaxGrowthRate,0.0645622988906156
C1R2,3,4,exclusion,3,4,arginine,MaxOD,0.516362108726815
C1R2,3,4,exclusion,3,4,citrate,LagTime,3.66437020265304
