Assembly,Family,ID,Abundance,Transfer,Time,Community
self_assembly,F0,S120,1,0,0,W9
self_assembly,F0,S121,1,0,0,W13
self_assembly,F0,S121,1,0,0,W15
self_assembly,F0,S121,1,0,0,W19
self_assembly,F0,S122,1,0,0,W19
self_assembly,F0,S123,1,0,0,W3
self_assembly,F0,S124,1,0,0,W19
self_assembly,F0,S125,1,0,0,W4
self_assembly,F0,S126,1,0,0,W4
self_assembly,F0,S126,1,0,0,W6
self_assembly,F0,S126,1,0,0,W8
self_assembly,F0,S127,1,0,0,W12
self_assembly,F0,S127,1,0,0,W17
self_assembly,F0,S127,1,0,0,W19
self_assembly,F0,S128,1,0,0,W0
self_assembly,F0,S128,1,0,0,W2
self_assembly,F0,S128,1,0,0,W5
self_assembly,F0,S128,1,0,0,W12
self_assembly,F0,S129,1,0,0,W3
self_assembly,F0,S129,1,0,0,W4
self_assembly,F0,S129,1,0,0,W14
self_assembly,F0,S131,1,0,0,W10
self_assembly,F0,S132,1,0,0,W8
self_assembly,F0,S132,1,0,0,W10
self_assembly,F0,S134,1,0,0,W3
self_assembly,F0,S137,1,0,0,W4
self_assembly,F0,S138,1,0,0,W11
self_assembly,F0,S138,1,0,0,W14
self_assembly,F0,S139,1,0,0,W4
self_assembly,F0,S139,1,0,0,W17
self_assembly,F0,S140,1,0,0,W1
self_assembly,F0,S140,1,0,0,W10
self_assembly,F0,S142,1,0,0,W2
self_assembly,F0,S144,1,0,0,W2
self_assembly,F0,S145,1,0,0,W13
self_assembly,F0,S147,1,0,0,W6
self_assembly,F0,S147,1,0,0,W9
self_assembly,F0,S147,1,0,0,W15
self_assembly,F0,S149,1,0,0,W9
self_assembly,F0,S149,1,0,0,W13
self_assembly,F0,S149,1,0,0,W18
self_assembly,F0,S152,1,0,0,W15
self_assembly,F0,S152,1,0,0,W17
self_assembly,F0,S157,1,0,0,W12
self_assembly,F0,S158,1,0,0,W11
self_assembly,F0,S160,1,0,0,W8
self_assembly,F0,S163,1,0,0,W9
self_assembly,F0,S163,1,0,0,W15
self_assembly,F0,S165,1,0,0,W12
self_assembly,F0,S166,1,0,0,W7
self_assembly,F0,S166,1,0,0,W16
self_assembly,F0,S167,1,0,0,W5
self_assembly,F0,S167,1,0,0,W10
self_assembly,F0,S168,1,0,0,W9
self_assembly,F0,S172,1,0,0,W7
self_assembly,F0,S174,1,0,0,W12
self_assembly,F0,S175,1,0,0,W1
self_assembly,F0,S176,1,0,0,W11
self_assembly,F0,S178,1,0,0,W8
self_assembly,F0,S179,1,0,0,W7
self_assembly,F0,S180,1,0,0,W8
self_assembly,F0,S181,1,0,0,W14
self_assembly,F0,S182,1,0,0,W10
self_assembly,F0,S182,1,0,0,W19
self_assembly,F0,S184,1,0,0,W7
self_assembly,F0,S186,1,0,0,W0
self_assembly,F0,S189,1,0,0,W15
self_assembly,F0,S191,1,0,0,W12
self_assembly,F0,S192,1,0,0,W1
self_assembly,F0,S192,1,0,0,W10
self_assembly,F0,S193,1,0,0,W3
self_assembly,F0,S193,1,0,0,W17
self_assembly,F0,S196,1,0,0,W7
self_assembly,F0,S197,1,0,0,W1
self_assembly,F0,S197,1,0,0,W14
self_assembly,F0,S199,1,0,0,W18
self_assembly,F0,S200,1,0,0,W6
self_assembly,F0,S205,1,0,0,W14
self_assembly,F0,S206,1,0,0,W16
self_assembly,F0,S207,1,0,0,W12
self_assembly,F0,S207,1,0,0,W15
self_assembly,F0,S208,1,0,0,W6
self_assembly,F0,S208,1,0,0,W15
self_assembly,F0,S210,1,0,0,W17
self_assembly,F0,S213,1,0,0,W2
self_assembly,F0,S216,1,0,0,W6
self_assembly,F0,S216,1,0,0,W16
self_assembly,F0,S217,1,0,0,W3
self_assembly,F0,S217,1,0,0,W11
self_assembly,F0,S217,1,0,0,W19
self_assembly,F0,S218,1,0,0,W3
self_assembly,F0,S218,1,0,0,W9
self_assembly,F0,S218,1,0,0,W14
self_assembly,F0,S219,1,0,0,W7
self_assembly,F0,S221,1,0,0,W11
self_assembly,F0,S224,1,0,0,W16
self_assembly,F0,S225,1,0,0,W15
self_assembly,F0,S228,1,0,0,W4
self_assembly,F0,S228,1,0,0,W9
self_assembly,F0,S228,1,0,0,W10
self_assembly,F0,S228,1,0,0,W12
self_assembly,F0,S231,1,0,0,W13
self_assembly,F0,S231,1,0,0,W18
self_assembly,F0,S232,1,0,0,W3
self_assembly,F0,S232,1,0,0,W7
self_assembly,F0,S233,1,0,0,W5
self_assembly,F0,S233,1,0,0,W14
self_assembly,F0,S234,1,0,0,W7
self_assembly,F0,S236,1,0,0,W19
self_assembly,F0,S240,1,0,0,W6
self_assembly,F0,S241,1,0,0,W3
self_assembly,F0,S241,1,0,0,W16
self_assembly,F0,S242,1,0,0,W16
self_assembly,F0,S244,1,0,0,W14
self_assembly,F0,S246,1,0,0,W3
self_assembly,F0,S246,1,0,0,W8
self_assembly,F0,S246,1,0,0,W18
self_assembly,F0,S247,1,0,0,W1
self_assembly,F0,S247,1,0,0,W17
self_assembly,F0,S249,1,0,0,W14
self_assembly,F0,S249,1,0,0,W15
self_assembly,F0,S251,1,0,0,W1
self_assembly,F0,S255,1,0,0,W13
self_assembly,F0,S256,1,0,0,W16
self_assembly,F0,S257,1,0,0,W14
self_assembly,F0,S259,1,0,0,W8
self_assembly,F0,S260,1,0,0,W12
self_assembly,F0,S261,1,0,0,W18
self_assembly,F0,S263,1,0,0,W10
self_assembly,F0,S265,1,0,0,W12
self_assembly,F0,S267,1,0,0,W6
self_assembly,F0,S267,1,0,0,W16
self_assembly,F0,S267,1,0,0,W17
self_assembly,F0,S269,1,0,0,W0
self_assembly,F0,S269,1,0,0,W6
self_assembly,F0,S270,1,0,0,W4
self_assembly,F0,S270,1,0,0,W6
self_assembly,F0,S270,1,0,0,W7
self_assembly,F0,S270,1,0,0,W9
self_assembly,F0,S272,1,0,0,W3
self_assembly,F0,S275,1,0,0,W15
