Community,Isolate1,Isolate2,Isolate1InitialODFreq,Isolate2InitialODFreq,Time,Isolate1MeasuredFreq,ErrorIsolate1MeasuredFreq,RawDataType,Contamination,Fermenter1,Fermenter2,Family1,Family2,Genus1,Genus2,PairFermenter,PairFamily,SeqDifference,SeqLength,PairTreeDistance
C1R4,1,5,5,95,T0,0.0682787311492462,0.0206016655389147,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,94,793,0.368797576886633
C1R4,1,5,50,50,T0,0.582003546099292,0.0787823822763671,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,94,793,0.368797576886633
C1R4,1,5,95,5,T0,0.963576670529162,0.0113657159982421,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,94,793,0.368797576886633
C1R4,2,3,5,95,T0,0.05,,OD,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP,64,525,0.343119325239029
C1R4,2,3,50,50,T0,0.5,,OD,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP,64,525,0.343119325239029
C1R4,2,3,95,5,T0,0.95,,OD,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP,64,525,0.343119325239029
C1R4,2,4,5,95,T0,0.163997159834075,0.0452694062358747,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,2,519,0.058983204419659
C1R4,2,4,50,50,T0,0.788458083294406,0.055072623241791,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,2,519,0.058983204419659
C1R4,2,4,95,5,T0,0.986075664936079,0.00453362322933684,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,2,519,0.058983204419659
C1R4,2,5,5,95,T0,0.119254353964656,0.0330367576929962,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,3,525,0.0661787906654849
C1R4,2,5,50,50,T0,0.720094165125274,0.0633977598948382,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,3,525,0.0661787906654849
C1R4,2,5,95,5,T0,0.979951872932981,0.00617946992086113,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,FF,EE,3,525,0.0661787906654849
C1R4,3,4,5,95,T0,0.05,,OD,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,91,747,0.367689884337542
C1R4,3,4,50,50,T0,0.5,,OD,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,91,747,0.367689884337542
C1R4,3,4,95,5,T0,0.95,,OD,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,91,747,0.367689884337542
C1R4,3,5,5,95,T0,0.05,,OD,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,88,668,0.374885470583368
C1R4,3,5,50,50,T0,0.5,,OD,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,88,668,0.374885470583368
C1R4,3,5,95,5,T0,0.95,,OD,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,88,668,0.374885470583368
C1R4,4,5,5,95,T0,0.0350545445841388,0.0119103371696345,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Citrobacter,FF,EE,1,657,0.0172041624862079
C1R4,4,5,50,50,T0,0.408365284071105,0.0850705863298157,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Citrobacter,FF,EE,1,657,0.0172041624862079
C1R4,4,5,95,5,T0,0.929150422826804,0.0231792966338542,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Citrobacter,FF,EE,1,657,0.0172041624862079
C1R6,1,2,5,95,T0,0.0259532743142255,0.00779620143661458,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP,85,662,0.354525748916901
C1R6,1,2,50,50,T0,0.33610006340423,0.0688148750319617,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP,85,662,0.354525748916901
C1R6,1,2,95,5,T0,0.90582713990205,0.0263076583435601,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FN,EP,85,662,0.354525748916901
C1R6,1,3,5,95,T0,0.0239224240400124,0.00721609302819942,ODtoCFU,FALSE,FALSE,FALSE,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,NN,PP,7,639,0.0917643053349607
C1R6,1,3,50,50,T0,0.317716274700056,0.066991095113469,ODtoCFU,FALSE,FALSE,FALSE,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,NN,PP,7,639,0.0917643053349607
C1R6,1,3,95,5,T0,0.898452954835633,0.0281952036407212,ODtoCFU,FALSE,FALSE,FALSE,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,NN,PP,7,639,0.0917643053349607
C1R6,1,4,5,95,T0,0.0198584837756975,0.00594768695494012,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FN,EP,91,712,0.366802966789219
C1R6,1,4,50,50,T0,0.277955312568179,0.0613270799759115,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FN,EP,91,712,0.366802966789219
C1R6,1,4,95,5,T0,0.879723278668898,0.0323326198262721,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FN,EP,91,712,0.366802966789219
C1R6,1,5,5,95,T0,0.0335973013488403,0.0102463061133656,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,88,668,0.373146512863552
C1R6,1,5,50,50,T0,0.39778667024067,0.0755971438807732,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,88,668,0.373146512863552
C1R6,1,5,95,5,T0,0.926200794468286,0.0215705705957621,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter,FN,EP,88,668,0.373146512863552
C1R6,2,3,5,95,T0,0.0461766914438546,0.0128188048200529,ODtoCFU,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP,82,636,0.353636669882602
C1R6,2,3,50,50,T0,0.479121071522366,0.0726338143539895,ODtoCFU,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,FN,EP,82,636,0.353636669882602
