Community,Replicate,Metric,HierarchyScore
W0,1,h1,0.8
W0,1,h2,0.7015184851666351
W0,2,h1,0.8
W0,2,h2,0.6036115723910115
W0,3,h1,0.5
W0,3,h2,0.6454535226687824
W0,4,h1,0.8
W0,4,h2,0.5969515236589475
W0,5,h1,0.7
W0,5,h2,0.5898767280027993
W0,6,h1,0.6
W0,6,h2,0.5956120672704817
W0,7,h1,0.6
W0,7,h2,0.662587116778732
W0,8,h1,0.5
W0,8,h2,0.6693105902800072
W0,9,h1,0.6
W0,9,h2,0.7674683714283159
W0,10,h1,0.6
W0,10,h2,0.567840179039111
W0,11,h1,0.6
W0,11,h2,0.6349674225089262
W0,12,h1,0.5
W0,12,h2,0.6457984954629732
W0,13,h1,0.6
W0,13,h2,0.6638567990373044
W0,14,h1,0.5
W0,14,h2,0.6033934491352432
W0,15,h1,0.7
W0,15,h2,0.566789671369399
W0,16,h1,0.8
W0,16,h2,0.6707134714376844
W0,17,h1,0.8
W0,17,h2,0.6028098676293622
W0,18,h1,0.5
W0,18,h2,0.6626832866648601
W0,19,h1,1
W0,19,h2,0.5662621139389548
W0,20,h1,0.5
W0,20,h2,0.6663634184375323
W0,21,h1,0.7
W0,21,h2,0.6029952457682137
W0,22,h1,0.6
W0,22,h2,0.7003083828415838
W0,23,h1,0.6
W0,23,h2,0.7011139324389232
W0,24,h1,0.5
W0,24,h2,0.6264805057686434
W0,25,h1,0.7
W0,25,h2,0.7067298228619575
W0,26,h1,1
W0,26,h2,0.631691843463966
W0,27,h1,0.8
W0,27,h2,0.6693169396406896
W0,28,h1,0.4
W0,28,h2,0.6767265138946561
W0,29,h1,0.9
W0,29,h2,0.6398450329395226
W0,30,h1,0.8
W0,30,h2,0.5956120672704817
W0,31,h1,0.5
W0,31,h2,0.7005201567366697
W0,32,h1,0.8
W0,32,h2,0.6394732253287275
W0,33,h1,0.7
W0,33,h2,0.6623421587063595
W0,34,h1,0.8
W0,34,h2,0.6312312666608173
W0,35,h1,0.9
W0,35,h2,0.6336148813583129
W0,36,h1,0.7
W0,36,h2,0.6028694475628833
W0,37,h1,0.7
W0,37,h2,0.6023418901324391
W0,38,h1,0.9
W0,38,h2,0.6020930872243764
W0,39,h1,0.8
W0,39,h2,0.7651481815000316
W0,40,h1,0.7
W0,40,h2,0.566325538708166
W0,41,h1,0.8
W0,41,h2,0.6089459147890662
W0,42,h1,0.8
W0,42,h2,0.6328131765966636
W0,43,h1,0.9
W0,43,h2,0.7228055086084207
W0,44,h1,0.5
W0,44,h2,0.6332699085641221
W0,45,h1,0.8
W0,45,h2,0.6748669007695204
W0,46,h1,0.8
W0,46,h2,0.5962654229062562
W0,47,h1,0.7
W0,47,h2,0.6699966910326987
W0,48,h1,0.4
W0,48,h2,0.6640358278154735
W0,49,h1,0.9
W0,49,h2,0.6699371110991775
W0,50,h1,0.8
W0,50,h2,0.638140118300944
W0,51,h1,0.8
W0,51,h2,0.6026308388511932
W0,52,h1,0.9
W0,52,h2,0.6028098676293622
W0,53,h1,0.6
W0,53,h2,0.6093737464752981
W0,54,h1,0.5
W0,54,h2,0.6100598472279894
W0,55,h1,0.5
W0,55,h2,0.5541419246035058
W0,56,h1,0.6
W0,56,h2,0.6044439568049551
W0,57,h1,0.7
W0,57,h2,0.6993466443642254
W0,58,h1,0.8
W0,58,h2,0.6709315946934528
W0,59,h1,0.7
W0,59,h2,0.6629320895729228
W0,60,h1,0.8
W0,60,h2,0.5660830851607858
W0,61,h1,0.8
W0,61,h2,0.6931471724353101
W0,62,h1,0.8
W0,62,h2,0.5244469984777882
W0,63,h1,0.8
W0,63,h2,0.700371807610795
W0,64,h1,0.6
W0,64,h2,0.6350308472781374
W0,65,h1,0.7
W0,65,h2,0.7377212660628517
W0,66,h1,0.6
W0,66,h2,0.6637972191037833
W0,67,h1,0.5
W0,67,h2,0.5726275298838918
W0,68,h1,0.9
W0,68,h2,0.6008868297350153
W0,69,h1,0.7
W0,69,h2,0.6037447712901163
W0,70,h1,0.6
W0,70,h2,0.6344472657722565
W0,71,h1,1
W0,71,h2,0.6995954472722882
W0,72,h1,0.4
W0,72,h2,0.7063886949034569
W0,73,h1,0.7
W0,73,h2,0.5967855796429259
W0,74,h1,0.7
W0,74,h2,0.664138347062284
W0,75,h1,0.6
W0,75,h2,0.7313885952348316
W0,76,h1,0.7
W0,76,h2,0.7061398919953942
W0,77,h1,0.6
W0,77,h2,0.537004485657866
