Assembly,Community,ID1,ID2,RelativeAbundance_Tinit1,RelativeAbundance_Tinit2,RelativeAbundance_Tend1,RelativeAbundance_Tend2
self_assembly,W1,S83,S140,0.05,0.95,0.023826920339706792,0.9761730796602933
self_assembly,W1,S83,S140,0.95,0.05,0.24971775462234647,0.7502822453776536
self_assembly,W1,S83,S247,0.05,0.95,0.008047934628180126,0.99195206537182
self_assembly,W1,S83,S247,0.95,0.05,0.22262798989234658,0.7773720101076534
self_assembly,W1,S83,S344,0.05,0.95,0.5320663238897133,0.4679336761102868
self_assembly,W1,S83,S344,0.95,0.05,0.6522137106091036,0.34778628939089634
self_assembly,W1,S83,S389,0.05,0.95,0.1946125438351488,0.8053874561648512
self_assembly,W1,S83,S389,0.95,0.05,0.5270810684888958,0.47291893151110426
self_assembly,W1,S83,S434,0.05,0.95,0.16580138085194598,0.8341986191480539
self_assembly,W1,S83,S434,0.95,0.05,0.3198416150193904,0.6801583849806097
self_assembly,W1,S83,S464,0.05,0.95,0.06862474719617577,0.9313752528038243
self_assembly,W1,S83,S464,0.95,0.05,0.6150065468622501,0.38499345313774974
self_assembly,W1,S83,S870,0.05,0.95,0.18210332930053322,0.8178966706994668
self_assembly,W1,S83,S870,0.95,0.05,0.3896328100541169,0.6103671899458831
self_assembly,W1,S140,S247,0.05,0.95,0.28890392967358813,0.7110960703264119
self_assembly,W1,S140,S247,0.95,0.05,0.592728562707278,0.4072714372927219
self_assembly,W1,S140,S344,0.05,0.95,0.8600240661295385,0.13997593387046145
self_assembly,W1,S140,S344,0.95,0.05,0.9123654183209929,0.08763458167900705
self_assembly,W1,S140,S389,0.05,0.95,0.5368948310308586,0.4631051689691415
self_assembly,W1,S140,S389,0.95,0.05,0.8879047203750137,0.11209527962498637
self_assembly,W1,S140,S434,0.05,0.95,0.333053378934153,0.6669466210658469
self_assembly,W1,S140,S434,0.95,0.05,0.6833805444244851,0.3166194555755147
self_assembly,W1,S140,S464,0.05,0.95,0.6681310683919981,0.33186893160800185
self_assembly,W1,S140,S464,0.95,0.05,0.9687494125829433,0.03125058741705671
self_assembly,W1,S140,S870,0.05,0.95,0.6020872221279485,0.39791277787205165
self_assembly,W1,S140,S870,0.95,0.05,0.6635097540144936,0.3364902459855064
self_assembly,W1,S247,S344,0.05,0.95,0.745515351824084,0.254484648175916
