Fermenter,Strain,SourceType,Source,SourceCarbon,MetaboliteType,Metabolite,MetaboliteCarbon,Replicate,MetaboliteConc
fermenter,Ecoli,sugar,glucose,6,acid,pyruvate,3,2,0
fermenter,Ecoli,sugar,glucose,6,acid,citrate,6,2,2.867
fermenter,Ecoli,sugar,glucose,6,acid,acetyl-ornithine,7,2,28.8
fermenter,Ecoli,sugar,glucose,6,acid,acetate,2,2,7284.8
fermenter,Ecoli,sugar,glucose,6,acid,asparagine,4,2,0
fermenter,Ecoli,sugar,glucose,6,sugar,glucose,6,2,0
fermenter,Ecoli,sugar,glucose,6,acid,valerate,5,2,4.66
fermenter,Ecoli,sugar,glucose,6,acid,putrescine,4,2,2.35
fermenter,Ecoli,sugar,glucose,6,acid,hippurate,9,2,0
fermenter,Enterobacter,sugar,glucose,6,acid,succinate,4,1,182
fermenter,Enterobacter,sugar,glucose,6,acid,pyruvate,3,1,0.468
fermenter,Enterobacter,sugar,glucose,6,acid,alpha-ketoglutarate,5,1,0
fermenter,Enterobacter,sugar,glucose,6,acid,glycine,2,1,3.02
fermenter,Enterobacter,sugar,glucose,6,acid,alanine,3,1,0
fermenter,Enterobacter,sugar,glucose,6,acid,propionate,3,1,12
fermenter,Enterobacter,sugar,glucose,6,acid,serine,3,1,0
fermenter,Enterobacter,sugar,glucose,6,acid,beta-hydroxybutyrate,4,1,6.16
fermenter,Enterobacter,sugar,glucose,6,acid,valine,5,1,0
fermenter,Enterobacter,sugar,glucose,6,acid,asparagine,4,1,0.514
fermenter,Enterobacter,sugar,glucose,6,acid,lactate,3,1,309
fermenter,Enterobacter,sugar,glucose,6,acid,putrescine,4,1,0
fermenter,Enterobacter,sugar,glucose,6,acid,acetyl-ornithine,7,1,30.3
fermenter,Enterobacter,sugar,glucose,6,sugar,glucose,6,1,0
fermenter,Enterobacter,sugar,glucose,6,acid,acetate,2,1,5844.8
fermenter,Enterobacter,sugar,glucose,6,acid,butyrate,4,1,1.66
fermenter,Enterobacter,sugar,glucose,6,acid,fumarate,4,1,17.1
fermenter,Enterobacter,sugar,glucose,6,acid,hippurate,9,1,0
fermenter,Enterobacter,sugar,glucose,6,acid,valerate,5,1,0.557
fermenter,Enterobacter,sugar,glucose,6,acid,methionine,5,1,0
fermenter,Enterobacter,sugar,glucose,6,acid,citrate,6,1,12.687
fermenter,Enterobacter,sugar,glucose,6,acid,beta-hydroxybutyrate,4,2,6.97
fermenter,Enterobacter,sugar,glucose,6,acid,lactate,3,2,319
fermenter,Enterobacter,sugar,glucose,6,acid,succinate,4,2,198
fermenter,Enterobacter,sugar,glucose,6,acid,pyruvate,3,2,0.491
fermenter,Enterobacter,sugar,glucose,6,acid,alanine,3,2,0
fermenter,Enterobacter,sugar,glucose,6,acid,asparagine,4,2,0.29900000000000004
fermenter,Enterobacter,sugar,glucose,6,acid,propionate,3,2,14
fermenter,Enterobacter,sugar,glucose,6,acid,glycine,2,2,0.46999999999999975
fermenter,Enterobacter,sugar,glucose,6,acid,valine,5,2,0
fermenter,Enterobacter,sugar,glucose,6,sugar,glucose,6,2,0
fermenter,Enterobacter,sugar,glucose,6,acid,butyrate,4,2,2.07
fermenter,Enterobacter,sugar,glucose,6,acid,serine,3,2,0.36
fermenter,Enterobacter,sugar,glucose,6,acid,acetyl-ornithine,7,2,25.1
fermenter,Enterobacter,sugar,glucose,6,acid,valerate,5,2,0.486
fermenter,Enterobacter,sugar,glucose,6,acid,fumarate,4,2,19.7
fermenter,Enterobacter,sugar,glucose,6,acid,alpha-ketoglutarate,5,2,0
fermenter,Enterobacter,sugar,glucose,6,acid,putrescine,4,2,0
fermenter,Enterobacter,sugar,glucose,6,acid,hippurate,9,2,0
fermenter,Enterobacter,sugar,glucose,6,acid,acetate,2,2,6104.8
fermenter,Enterobacter,sugar,glucose,6,acid,methionine,5,2,0
fermenter,Enterobacter,sugar,glucose,6,acid,citrate,6,2,14.087
respirator,Pputida,sugar,glucose,6,acid,pyruvate,3,1,0
respirator,Pputida,sugar,glucose,6,acid,valine,5,1,0
respirator,Pputida,sugar,glucose,6,acid,alanine,3,1,0
respirator,Pputida,sugar,glucose,6,acid,propionate,3,1,0.771
respirator,Pputida,sugar,glucose,6,acid,beta-hydroxybutyrate,4,1,1.34
respirator,Pputida,sugar,glucose,6,acid,serine,3,1,0
