Assembly,Community,ID1,ID2,Isolate1MeasuredFreq,Assembly1,Family1,Isolate1,Assembly2,Family2,Isolate2
self_assembly,W2,S142,S213,0.04980549452764397,self_assembly,F0,2,self_assembly,F0,3
self_assembly,W2,S142,S213,0.3964858449603427,self_assembly,F0,2,self_assembly,F0,3
self_assembly,W2,S142,S286,0.26994148863790995,self_assembly,F0,2,self_assembly,F0,4
self_assembly,W2,S142,S286,0.7111601636044926,self_assembly,F0,2,self_assembly,F0,4
self_assembly,W2,S142,S315,0.3744847368121117,self_assembly,F0,2,self_assembly,F0,5
self_assembly,W2,S142,S315,0.44925038120223143,self_assembly,F0,2,self_assembly,F0,5
self_assembly,W2,S142,S500,0.7013513276969666,self_assembly,F0,2,self_assembly,F1,6
self_assembly,W2,S142,S500,0.7077033522145277,self_assembly,F0,2,self_assembly,F1,6
self_assembly,W2,S142,S735,0.591101490679964,self_assembly,F0,2,self_assembly,F1,7
self_assembly,W2,S142,S735,0.6294094957570657,self_assembly,F0,2,self_assembly,F1,7
self_assembly,W2,S213,S286,0.48992654207626657,self_assembly,F0,3,self_assembly,F0,4
self_assembly,W2,S213,S286,0.893739118593952,self_assembly,F0,3,self_assembly,F0,4
self_assembly,W2,S213,S315,0.36771878787878787,self_assembly,F0,3,self_assembly,F0,5
self_assembly,W2,S213,S315,0.7583002499632406,self_assembly,F0,3,self_assembly,F0,5
self_assembly,W2,S213,S500,0.803717732496521,self_assembly,F0,3,self_assembly,F1,6
self_assembly,W2,S213,S500,0.8228736504879539,self_assembly,F0,3,self_assembly,F1,6
self_assembly,W2,S213,S735,0.7299666794122466,self_assembly,F0,3,self_assembly,F1,7
self_assembly,W2,S213,S735,0.7603349557562531,self_assembly,F0,3,self_assembly,F1,7
self_assembly,W2,S286,S315,0.282674266016413,self_assembly,F0,4,self_assembly,F0,5
self_assembly,W2,S286,S315,0.460260184218023,self_assembly,F0,4,self_assembly,F0,5
self_assembly,W2,S286,S500,0.712562991926921,self_assembly,F0,4,self_assembly,F1,6
self_assembly,W2,S286,S500,0.7357624808459122,self_assembly,F0,4,self_assembly,F1,6
self_assembly,W2,S286,S735,0.6293756108874642,self_assembly,F0,4,self_assembly,F1,7
self_assembly,W2,S286,S735,0.6607562274636938,self_assembly,F0,4,self_assembly,F1,7
self_assembly,W2,S315,S500,0.5988856956468078,self_assembly,F0,5,self_assembly,F1,6
self_assembly,W2,S315,S500,0.5990620096267433,self_assembly,F0,5,self_assembly,F1,6
self_assembly,W2,S315,S735,0.5584754703710216,self_assembly,F0,5,self_assembly,F1,7
self_assembly,W2,S315,S735,0.5593135401739009,self_assembly,F0,5,self_assembly,F1,7
self_assembly,W2,S500,S735,6.294794205192306e-5,self_assembly,F1,6,self_assembly,F1,7
self_assembly,W2,S500,S735,0.008174092891506677,self_assembly,F1,6,self_assembly,F1,7
self_assembly,W3,S104,S246,0.6650388287227218,self_assembly,F0,1,self_assembly,F0,2
self_assembly,W3,S104,S246,0.8090553688480419,self_assembly,F0,1,self_assembly,F0,2
self_assembly,W3,S104,S315,0.7093077184701166,self_assembly,F0,1,self_assembly,F0,3
self_assembly,W3,S104,S315,0.9874622485005743,self_assembly,F0,1,self_assembly,F0,3
self_assembly,W3,S104,S360,0.7918042085491385,self_assembly,F0,1,self_assembly,F0,4
self_assembly,W3,S104,S360,0.8517454621800623,self_assembly,F0,1,self_assembly,F0,4
self_assembly,W3,S104,S572,0.5953045882816147,self_assembly,F0,1,self_assembly,F1,5
self_assembly,W3,S104,S572,0.6100281359691329,self_assembly,F0,1,self_assembly,F1,5
self_assembly,W3,S104,S911,0.5633755011054133,self_assembly,F0,1,self_assembly,F1,6
self_assembly,W3,S104,S911,0.5694189546322126,self_assembly,F0,1,self_assembly,F1,6
self_assembly,W3,S246,S315,0.4772400487778242,self_assembly,F0,2,self_assembly,F0,3
self_assembly,W3,S246,S315,0.6840796019900498,self_assembly,F0,2,self_assembly,F0,3
self_assembly,W3,S246,S360,0.5215313598135485,self_assembly,F0,2,self_assembly,F0,4
self_assembly,W3,S246,S360,0.9910443032076492,self_assembly,F0,2,self_assembly,F0,4
self_assembly,W3,S246,S572,0.6633819196096776,self_assembly,F0,2,self_assembly,F1,5
self_assembly,W3,S246,S572,0.7160836102851145,self_assembly,F0,2,self_assembly,F1,5
self_assembly,W3,S246,S911,0.6181419677084151,self_assembly,F0,2,self_assembly,F1,6
self_assembly,W3,S246,S911,0.6659601378167386,self_assembly,F0,2,self_assembly,F1,6
self_assembly,W3,S315,S360,0.518314542526108,self_assembly,F0,3,self_assembly,F0,4
self_assembly,W3,S315,S360,0.6037352103708681,self_assembly,F0,3,self_assembly,F0,4
self_assembly,W3,S315,S572,0.5667182648687824,self_assembly,F0,3,self_assembly,F1,5
self_assembly,W3,S315,S572,0.5816472823067687,self_assembly,F0,3,self_assembly,F1,5
self_assembly,W3,S315,S911,0.5063859834944172,self_assembly,F0,3,self_assembly,F1,6
self_assembly,W3,S315,S911,0.5107049562270546,self_assembly,F0,3,self_assembly,F1,6
self_assembly,W3,S360,S572,0.4361329623944742,self_assembly,F0,4,self_assembly,F1,5
self_assembly,W3,S360,S572,0.46034345682938466,self_assembly,F0,4,self_assembly,F1,5
self_assembly,W3,S360,S911,0.44502457002457,self_assembly,F0,4,self_assembly,F1,6
