Family,Species,W0,W1,W2
F2,S264,0,0,0
F2,S265,0,0,0
F2,S266,0,0,0
F2,S267,0,0,0
F2,S268,0,0,0
F2,S269,0,0,0
F2,S270,0,0,0
F2,S271,0,0,0
F2,S272,0,0,0
F2,S273,0,0,0
F2,S274,0,0,0
F2,S275,0,0,0
F2,S276,0,0,0
F2,S277,0,0,0
F2,S278,0,0,0
F2,S279,0,0,0
F2,S280,0,0,0
F2,S281,0,0,0
F2,S282,0,0,0
F2,S283,0,0,0
F2,S284,0,0,0
F2,S285,0,0,0
F2,S286,0,0,0
F2,S287,0,0,0
F2,S288,0,0,0
F2,S289,0,0,0
F2,S290,0,0,0
F2,S291,0,0,0
F2,S292,0,0,0
F2,S293,0,0,0
F2,S294,0,0,0
F2,S295,0,0,0
F2,S296,0,0,0
F2,S297,0,0,0
F2,S298,0,0,0
F2,S299,0,0,0
